x	y	a	r
0	0	4	300
0	0	4	300
0	0	0	300
500	0	4	300
500	0	0	300
993	0	0	0
1493	0	2	0
1493	505	4	0
1493	505	1	0
989	505	2	0
989	1001	3	0
989	506	3	0
989	12	1	0
489	12	4	300
489	12	4	300
489	12	2	300
489	516	3	0
489	19	2	300
489	509	0	0
988	509	2	0
988	1010	2	0
988	1511	4	0
988	1511	0	0
1491	1511	1	0
1005	1511	4	0
1005	1511	4	0
1005	1511	2	0
1005	2006	1	0
503	2006	0	0
996	2006	0	0
1499	2006	2	0
1499	2501	0	0
1987	2501	3	0
1987	2006	3	300
1987	1499	3	0
1987	996	3	0
1987	497	2	0
1987	1001	3	0
1987	491	2	0
1987	986	1	0
1493	986	3	0
1493	486	2	0
1493	973	4	0
1493	973	3	0
1493	482	4	0
1493	482	1	0
992	482	1	0
502	482	4	0
502	482	4	0
502	482	2	0
502	983	4	0
502	983	1	0
18	983	2	0
18	1486	2	0
18	1966	2	0
18	2474	2	-300
18	2965	4	0
18	2965	0	0
516	2965	3	0
516	2454	3	0
516	1961	3	0
516	1462	1	0
12	1462	0	0
511	1462	4	0
511	1462	0	0
1010	1462	0	0
1505	1462	4	0
1505	1462	3	0
1505	959	4	0
1505	959	3	0
1505	463	2	0
1505	959	1	0
1005	959	0	0
1503	959	3	0
1503	453	4	0
1503	453	1	0
1010	453	4	0
1010	453	2	0
1010	946	4	0
1010	946	4	0
1010	946	4	0
1010	946	4	0
1010	946	0	0
1510	946	4	0
1510	946	2	0
1510	1436	2	0
1510	1934	2	0
1510	2439	0	300
1999	2439	3	300
1999	1949	3	0
1999	1454	0	0
2496	1454	0	0
2995	1454	3	0
2995	957	0	0
3495	957	1	0
2990	957	3	0
2990	453	2	-300
2990	955	4	0
2990	955	4	0
2990	955	0	0
3478	955	0	0
3978	955	1	-300
3490	955	1	0
2985	955	3	0
2985	454	0	-300
3488	454	1	0
2998	454	4	-300
2998	454	2	-300
2998	942	1	0
2499	942	4	0
2499	942	3	0
2499	454	2	300
2499	961	2	0
2499	1461	4	0
2499	1461	1	0
2010	1461	4	0
2010	1461	4	0
2010	1461	4	0
2010	1461	0	0
2516	1461	2	0
2516	1950	3	0
2516	1438	2	0
2516	1938	3	0
2516	1440	4	0
2516	1440	0	0
3001	1440	1	0
2497	1440	1	0
2001	1440	2	0
2001	1929	0	0
2503	1929	2	0
2503	2421	1	0
2002	2421	0	0
2516	2421	2	0
2516	2912	3	0
2516	2419	1	0
2016	2419	4	0
2016	2419	1	0
1528	2419	1	300
1028	2419	0	0
1532	2419	4	300
1532	2419	2	300
1532	2917	1	0
1039	2917	0	0
1532	2917	0	0
2038	2917	4	0
2038	2917	3	0
2038	2429	2	0
2038	2915	4	0
2038	2915	1	0
1543	2915	1	0
1042	2915	4	0
1042	2915	1	0
558	2915	1	0
58	2915	0	0
554	2915	1	0
44	2915	0	0
550	2915	4	0
550	2915	4	0
550	2915	1	0
61	2915	2	0
61	3410	2	-300
61	3906	2	0
61	4403	0	0
552	4403	3	0
552	3903	1	0
54	3903	0	0
553	3903	0	0
1061	3903	2	0
1061	4416	2	0
1061	4915	4	0
1061	4915	2	0
1061	5419	3	-300
1061	4929	0	0
1564	4929	3	-300
1564	4444	3	0
1564	3946	4	0
1564	3946	1	0
1073	3946	4	0
1073	3946	2	0
1073	4444	1	0
575	4444	1	0
72	4444	2	0
72	4939	2	0
72	5459	0	300
566	5459	1	0
77	5459	2	300
77	5968	2	0
77	6461	3	0
77	5969	4	0
77	5969	4	0
77	5969	2	0
77	6468	4	0
77	6468	2	0
77	6970	3	0
77	6485	3	0
77	5983	4	0
77	5983	4	0
77	5983	0	0
571	5983	1	0
67	5983	3	0
67	5485	3	300
67	4980	3	0
67	4483	2	0
67	4987	0	0
566	4987	0	0
1049	4987	1	0
550	4987	2	0
550	5474	2	0
550	5970	2	0
550	6473	3	0
550	5970	1	0
47	5970	2	0
47	6476	0	0
542	6476	2	0
542	6986	1	0
38	6986	0	0
534	6986	1	0
32	6986	4	0
32	6986	0	0
537	6986	0	0
1030	6986	1	0
530	6986	2	0
530	7485	1	0
34	7485	3	0
34	6997	0	0
545	6997	2	0
545	7497	1	0
57	7497	4	0
57	7497	3	0
57	7008	3	0
57	6503	0	0
564	6503	4	0
564	6503	3	0
564	6016	3	0
564	5511	2	0
564	6005	1	0
65	6005	2	0
65	6499	2	0
65	6996	0	0
550	6996	2	0
550	7492	3	0
550	6999	2	0
550	7491	4	0
550	7491	1	0
49	7491	2	0
49	7994	3	0
49	7492	0	0
544	7492	2	0
544	7996	2	-300
544	8497	3	0
544	7995	2	-300
544	8496	3	0
544	7992	0	-300
1058	7992	1	0
563	7992	2	-300
563	8488	2	0
563	8979	0	0
1067	8979	1	0
565	8979	3	0
565	8483	4	0
565	8483	1	0
61	8483	4	-300
61	8483	0	-300
554	8483	4	0
554	8483	3	0
554	7990	3	-300
554	7495	3	0
554	6994	4	0
554	6994	3	0
554	6509	3	0
554	6002	3	0
554	5499	3	0
554	4995	2	0
554	5487	0	0
1044	5487	1	-300
553	5487	0	0
1050	5487	3	-300
1050	4982	4	0
1050	4982	2	0
1050	5485	0	-300
1552	5485	3	0
1552	4986	2	-300
1552	5467	2	0
1552	5973	1	0
1050	5973	3	0
1050	5471	2	-300
1050	5966	4	0
1050	5966	0	0
1545	5966	0	0
2040	5966	4	0
2040	5966	1	0
1550	5966	4	0
1550	5966	2	0
1550	6460	3	0
1550	5965	4	0
1550	5965	4	0
1550	5965	1	0
1054	5965	0	0
1566	5965	0	0
2062	5965	2	0
2062	6458	2	0
2062	6965	1	0
1561	6965	0	0
2066	6965	2	0
2066	7465	3	0
2066	6970	3	0
2066	6463	1	0
1576	6463	2	0
1576	6978	4	0
1576	6978	2	0
1576	7475	1	0
1096	7475	2	0
1096	7971	2	0
1096	8472	2	0
1096	8972	3	0
1096	8461	1	0
615	8461	3	0
615	7966	2	-300
615	8461	0	0
1109	8461	0	0
1605	8461	2	0
1605	8947	2	0
1605	9451	0	0
2097	9451	1	0
1600	9451	4	0
1600	9451	3	0
1600	8958	1	0
1105	8958	0	0
1603	8958	1	0
1107	8958	1	0
620	8958	1	0
117	8958	0	0
616	8958	4	0
616	8958	3	0
616	8456	4	0
616	8456	3	0
616	7963	2	-300
616	8465	4	0
616	8465	0	0
1120	8465	4	0
1120	8465	1	0
627	8465	2	0
627	8971	2	0
627	9465	3	0
627	8955	2	0
627	9447	3	0
627	8952	3	0
627	8451	3	0
627	7947	4	-300
627	7947	1	-300
130	7947	0	0
630	7947	4	-300
630	7947	0	-300
1121	7947	4	0
1121	7947	4	0
1121	7947	1	0
623	7947	1	-300
126	7947	0	0
626	7947	0	-300
1119	7947	3	0
1119	7450	2	0
1119	7946	1	0
619	7946	2	-300
619	8449	4	0
619	8449	0	0
1121	8449	3	0
1121	7955	2	0
1121	8459	4	0
1121	8459	2	0
1121	8954	2	0
1121	9450	4	300
1121	9450	2	300
1121	9952	4	0
1121	9952	0	0
1616	9952	0	0
2114	9952	3	0
2114	9448	3	0
2114	8945	2	300
2114	9442	2	0
2114	9935	1	0
1621	9935	4	0
1621	9935	1	0
1111	9935	4	0
1111	9935	1	0
604	9935	1	0
106	9935	3	0
106	9430	3	300
