x	y	a	r
0	0	4	0
0	0	2	0
0	505	2	0
0	1000	2	0
0	1489	2	0
0	1980	2	0
0	2482	2	300
0	2969	2	0
0	3469	3	0
0	2985	0	0
496	2985	3	0
496	2466	3	300
496	1973	0	0
988	1973	4	0
988	1973	3	0
988	1479	0	0
1477	1479	1	-600
973	1479	1	0
470	1479	0	0
968	1479	1	0
474	1479	3	0
474	982	0	0
978	982	3	0
978	484	1	0
472	484	0	0
974	484	2	0
974	986	2	0
974	1479	2	0
974	1982	3	0
974	1471	2	0
974	1965	4	0
974	1965	3	0
974	1464	0	0
1478	1464	0	-600
1974	1464	2	0
1974	1943	4	0
1974	1943	1	0
1476	1943	3	0
1476	1443	0	-600
1982	1443	3	0
1982	948	4	0
1982	948	3	0
1982	451	4	0
1982	451	0	0
2478	451	0	-500
2978	451	0	0
3480	451	2	0
3480	947	0	0
3971	947	1	0
3478	947	1	0
2981	947	1	300
2478	947	4	0
2478	947	0	0
2983	947	0	300
3485	947	4	0
3485	947	0	0
3987	947	4	0
3987	947	2	0
3987	1446	2	0
3987	1944	1	0
3507	1944	2	0
3507	2449	0	0
4010	2449	3	0
4010	1953	3	0
4010	1458	2	0
4010	1945	1	0
3510	1945	3	0
3510	1445	4	0
3510	1445	0	0
4003	1445	1	0
3514	1445	1	0
3027	1445	0	0
3531	1445	0	0
4012	1445	2	0
4012	1927	2	0
4012	2426	3	0
4012	1923	3	0
4012	1425	1	0
3517	1425	1	0
3028	1425	2	0
3028	1923	0	0
3520	1923	0	0
4013	1923	4	0
4013	1923	0	0
4509	1923	2	0
4509	2419	0	0
5013	2419	0	0
5499	2419	1	0
4997	2419	2	0
4997	2913	1	0
4505	2913	2	0
4505	3402	3	0
4505	2900	1	0
4013	2900	3	-300
4013	2399	4	0
4013	2399	1	0
3520	2399	4	0
3520	2399	2	0
3520	2900	2	0
3520	3399	3	100
3520	2894	3	0
3520	2393	0	0
4027	2393	0	0
4513	2393	4	0
4513	2393	1	0
4024	2393	3	0
4024	1900	2	0
4024	2391	2	0
4024	2883	4	-300
4024	2883	4	-300
4024	2883	0	-300
4522	2883	2	0
4522	3371	2	0
4522	3855	3	0
4522	3351	4	0
4522	3351	2	0
4522	3848	2	0
4522	4351	3	0
4522	3847	1	0
4034	3847	2	0
4034	4347	4	0
4034	4347	0	0
4530	4347	2	0
4530	4849	0	0
5025	4849	0	0
5507	4849	4	0
5507	4849	1	0
5012	4849	1	0
4514	4849	2	0
4514	5340	0	0
5012	5340	1	0
4509	5340	3	0
4509	4855	3	0
4509	4359	4	0
4509	4359	3	0
4509	3859	0	0
5008	3859	0	0
5505	3859	1	0
5014	3859	0	0
5510	3859	0	0
6005	3859	1	0
5514	3859	3	0
5514	3371	4	0
5514	3371	4	0
5514	3371	3	0
5514	2878	4	0
5514	2878	3	0
5514	2382	1	0
5025	2382	4	0
5025	2382	3	0
5025	1886	1	0
4531	1886	3	0
4531	1388	0	0
5030	1388	2	0
5030	1884	2	0
5030	2379	3	0
5030	1874	4	0
5030	1874	1	0
4540	1874	1	0
4049	1874	1	0
3563	1874	0	0
4064	1874	1	0
3554	1874	0	0
4043	1874	1	0
3553	1874	0	0
4047	1874	0	0
4543	1874	3	0
4543	1378	0	0
5036	1378	4	0
5036	1378	4	0
5036	1378	2	0
5036	1872	1	0
4533	1872	3	0
4533	1372	0	0
5039	1372	4	0
5039	1372	3	0
5039	872	2	500
5039	1379	4	0
5039	1379	4	0
5039	1379	1	0
4549	1379	4	0
4549	1379	2	0
4549	1872	1	0
4061	1872	1	0
3556	1872	1	0
3058	1872	2	0
3058	2367	2	0
3058	2875	0	0
3555	2875	3	0
3555	2385	0	0
4046	2385	4	0
4046	2385	1	0
3543	2385	3	0
3543	1889	4	0
3543	1889	1	0
3046	1889	0	0
3535	1889	0	0
4037	1889	4	0
4037	1889	3	0
4037	1382	3	0
4037	881	2	0
4037	1383	1	0
3527	1383	1	0
3034	1383	4	0
3034	1383	0	0
3524	1383	4	0
3524	1383	3	0
3524	892	2	0
3524	1383	2	0
3524	1887	3	0
3524	1388	2	0
3524	1894	0	0
4026	1894	3	0
4026	1403	4	0
4026	1403	2	0
4026	1897	0	0
4531	1897	1	0
4027	1897	2	0
4027	2388	3	0
4027	1886	4	0
4027	1886	4	0
4027	1886	2	0
4027	2375	1	0
3515	2375	0	0
4014	2375	0	0
4507	2375	3	0
4507	1875	0	0
5011	1875	4	0
5011	1875	2	0
5011	2363	4	0
5011	2363	0	0
5522	2363	2	0
5522	2867	2	0
5522	3364	4	0
5522	3364	1	0
5024	3364	0	0
5524	3364	0	0
6034	3364	3	500
6034	2868	0	100
6529	2868	2	0
6529	3366	3	0
6529	2882	0	0
7021	2882	1	0
6516	2882	3	0
6516	2386	3	0
6516	1889	1	0
6021	1889	2	0
6021	2390	0	0
6520	2390	1	0
6019	2390	4	0
6019	2390	0	0
6519	2390	0	0
7020	2390	3	0
7020	1897	3	0
7020	1385	0	0
7510	1385	4	0
7510	1385	3	0
7510	881	3	0
7510	380	0	-100
8005	380	2	0
8005	890	0	500
8488	890	1	500
7987	890	0	0
8495	890	0	500
8992	890	3	0
8992	402	2	0
8992	907	1	0
8494	907	1	500
8003	907	1	500
7511	907	2	0
7511	1405	2	0
7511	1906	2	0
7511	2407	4	0
7511	2407	2	0
7511	2899	2	0
7511	3395	0	0
7996	3395	1	0
7510	3395	4	0
7510	3395	0	0
8004	3395	2	0
8004	3888	1	-300
7500	3888	2	0
7500	4392	2	0
7500	4889	2	0
7500	5390	1	0
6995	5390	2	0
6995	5885	2	0
6995	6386	4	0
6995	6386	0	0
7494	6386	2	300
7494	6881	1	0
6997	6881	4	0
6997	6881	3	0
6997	6377	4	0
6997	6377	3	0
6997	5876	3	0
6997	5383	1	0
6503	5383	3	0
6503	4885	0	0
7012	4885	4	0
7012	4885	4	0
7012	4885	1	0
6514	4885	3	0
6514	4398	3	0
6514	3899	4	0
6514	3899	1	0
6019	3899	3	0
6019	3404	4	500
6019	3404	0	500
6505	3404	2	0
6505	3901	1	0
5992	3901	1	0
5504	3901	2	0
5504	4402	1	0
4999	4402	4	0
4999	4402	1	0
4498	4402	0	0
5009	4402	0	0
5499	4402	0	0
6001	4402	0	0
6497	4402	4	0
6497	4402	4	0
6497	4402	3	0
6497	3913	1	0
5994	3913	0	0
6492	3913	2	0
6492	4401	0	0
6981	4401	4	0
6981	4401	4	0
6981	4401	4	0
6981	4401	2	0
6981	4893	4	0
6981	4893	0	0
7474	4893	2	0
7474	5391	0	0
7980	5391	1	100
7472	5391	1	0
6965	5391	3	0
6965	4895	0	0
7473	4895	0	0
7966	4895	2	0
7966	5395	2	100
