x	y	a	r
0	0	4	0
0	0	4	0
0	0	2	0
0	489	0	0
500	489	2	0
500	990	4	0
500	990	1	0
3	990	3	0
3	491	2	0
3	1005	4	0
3	1005	0	0
487	1005	2	0
487	1499	0	0
983	1499	4	0
983	1499	1	0
490	1499	3	0
490	996	4	0
490	996	3	0
490	491	2	0
490	984	4	0
490	984	4	0
490	984	0	0
989	984	1	0
498	984	0	0
999	984	2	0
999	1471	3	0
999	989	3	0
999	483	1	0
499	483	4	0
499	483	0	0
1000	483	0	0
1495	483	1	0
997	483	4	0
997	483	0	0
1495	483	0	0
1991	483	1	0
1495	483	1	0
1000	483	1	0
500	483	0	0
1002	483	1	0
503	483	2	0
503	987	0	0
1005	987	2	0
1005	1489	1	-600
507	1489	4	0
507	1489	1	0
8	1489	2	0
8	1992	3	0
8	1503	2	0
8	2000	0	0
503	2000	3	0
503	1502	3	0
503	1017	0	0
1000	1017	1	0
503	1017	4	0
503	1017	1	0
8	1017	2	0
8	1513	0	0
508	1513	0	0
1009	1513	3	0
1009	1026	1	-600
508	1026	3	0
508	524	1	0
4	524	4	0
4	524	4	0
4	524	0	0
494	524	0	0
979	524	3	0
979	33	4	0
979	33	1	0
480	33	4	0
480	33	4	0
480	33	4	0
480	33	2	0
480	529	3	0
480	30	2	0
480	525	2	0
480	1011	4	0
480	1011	3	0
480	521	4	0
480	521	2	0
480	1034	3	0
480	534	2	0
480	1044	0	0
981	1044	2	0
981	1535	3	0
981	1041	3	0
981	552	3	0
981	54	1	0
473	54	0	0
980	54	4	0
980	54	4	0
980	54	1	0
494	54	4	0
494	54	0	0
989	54	1	0
495	54	2	0
495	551	4	0
495	551	2	0
495	1056	4	0
495	1056	3	0
495	571	0	0
990	571	0	0
1492	571	4	0
1492	571	1	0
993	571	3	0
993	73	0	0
1494	73	0	0
1994	73	4	0
1994	73	2	0
1994	566	2	0
1994	1062	0	0
2490	1062	0	0
2984	1062	3	300
2984	574	1	300
2482	574	2	0
2482	1070	1	0
1980	1070	4	0
1980	1070	2	0
1980	1575	3	0
1980	1067	3	0
1980	574	4	0
1980	574	0	0
2470	574	4	0
2470	574	1	0
1972	574	0	0
2466	574	0	0
2964	574	3	300
2964	81	0	0
3452	81	0	0
3959	81	2	0
3959	588	3	0
3959	91	2	0
3959	597	1	0
3455	597	1	0
2961	597	4	300
2961	597	4	300
2961	597	3	300
2961	108	0	0
3464	108	4	0
3464	108	0	0
3963	108	0	0
4467	108	4	-600
4467	108	2	-600
4467	605	4	0
4467	605	0	0
4962	605	2	0
4962	1110	2	0
