@relation dTree

@attribute x {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute y {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute r {0, -300, 300}

@data

S4,S18,0
S4,S19,-300
S5,S19,-300
S4,S19,-300
S5,S19,-300
S5,S18,0
S4,S18,0
S5,S18,0
S4,S18,0
S5,S18,0
S4,S18,0
S3,S18,0
S3,S18,0
S3,S18,0
S3,S18,0
S4,S18,0
S5,S18,0
S4,S18,0
S4,S19,-300
S4,S19,-300
S5,S19,-300
S5,S19,-300
S5,S19,-300
S4,S19,-300
S5,S19,-300
S5,S18,0
S4,S18,0
S3,S18,0
S4,S18,0
S3,S18,0
S2,S18,0
S2,S17,0
S1,S17,0
S1,S16,0
S1,S16,0
S1,S16,0
S1,S15,0
S1,S16,0
S0,S16,-300
S0,S16,-300
S0,S16,-300
S0,S15,-300
S0,S16,-300
S0,S15,-300
S1,S15,0
S1,S14,0
S0,S14,-300
S1,S14,0
S1,S13,0
S0,S13,-300
S0,S12,-300
S1,S12,0
S2,S12,0
S1,S12,0
S1,S11,0
S0,S11,-300
S0,S10,-300
S0,S10,-300
S0,S10,-300
S1,S10,0
S2,S10,0
S3,S10,0
S3,S11,0
S2,S11,0
S2,S10,0
S2,S11,0
S3,S11,0
S3,S10,0
S2,S10,0
S2,S9,0
S1,S9,0
S2,S9,0
S2,S10,0
S1,S10,0
S1,S9,0
S1,S10,0
S1,S11,0
S0,S11,-300
S0,S11,-300
S0,S10,-300
S0,S9,-300
S0,S8,-300
S0,S7,-300
S0,S7,-300
S0,S7,-300
S1,S7,0
S0,S7,-300
S0,S6,-300
S0,S5,-300
S0,S4,-300
S0,S4,-300
S0,S4,-300
S0,S5,-300
S0,S6,-300
S1,S6,0
S1,S7,0
S1,S6,0
S1,S5,0
S1,S4,0
S2,S4,0
S3,S4,0
S2,S4,0
S1,S4,0
S1,S3,0
S2,S3,0
S3,S3,0
S3,S3,0
S3,S4,0
S2,S4,0
S1,S4,0
S2,S4,0
S1,S4,0
S2,S4,0
S2,S4,0
S2,S5,0
S2,S4,0
S2,S4,0
S3,S4,0
S4,S4,0
S5,S4,0
S5,S5,0
S6,S5,0
S6,S6,0
S6,S6,0
S7,S6,0
S7,S6,0
S8,S6,0
S8,S5,0
S8,S6,0
S9,S6,0
S9,S6,0
S9,S7,0
S10,S7,0
S10,S7,0
S10,S6,0
S10,S5,300
S10,S4,0
S10,S3,0
S10,S4,0
S9,S4,0
S10,S4,0
S11,S4,0
S11,S5,300
S10,S5,300
S11,S5,300
S12,S5,0
S12,S6,300
S12,S6,300
S12,S6,300
S12,S5,0
S12,S4,0
S11,S4,0
S12,S4,0
S12,S3,0
S12,S4,0
S12,S5,0
S12,S6,300
S13,S6,0
S12,S6,300
S13,S6,0
S13,S6,0
S13,S7,300
S13,S7,300
S13,S6,0
S13,S6,0
S13,S7,300
S13,S6,0
S13,S5,0
S14,S5,0
S14,S6,0
S14,S7,0
S13,S7,300
S13,S6,0
S12,S6,300
S12,S6,300
S13,S6,0
S13,S7,300
S13,S8,0
S12,S8,0
S11,S8,0
S11,S7,0
S11,S8,0
S12,S8,0
S13,S8,0
S13,S9,0
S13,S9,0
S13,S9,0
S14,S9,300
S13,S9,0
S14,S9,300
S14,S9,300
S14,S8,300
S15,S8,0
S14,S8,300
S14,S7,0
S14,S8,300
S14,S9,300
S14,S9,300
S14,S9,300
S14,S10,0
S15,S10,300
S15,S9,0
S16,S9,0
S16,S9,0
S16,S8,0
S17,S8,0
S17,S7,0
S16,S7,0
S15,S7,0
S15,S8,0
S14,S8,300
S14,S8,300
S14,S8,300
S14,S7,0
S13,S7,300
S13,S7,300
S12,S7,0
S13,S7,300
S13,S8,0
S13,S8,0
S13,S8,0
S12,S8,0
S12,S8,0
S12,S8,0
S12,S9,0
S11,S9,0
S11,S9,0
S12,S9,0
S12,S8,0
S12,S8,0
S12,S8,0
S12,S9,0
S13,S9,0
S12,S9,0
S13,S9,0
