x	y	a	r
2277	9423	2	0
2277	9930	0	-300
2757	9930	1	-300
2267	9930	0	-300
2773	9930	3	-300
2773	9426	1	0
2279	9426	0	0
2764	9426	1	0
2267	9426	0	0
2766	9426	1	0
2257	9426	1	0
1757	9426	4	0
1757	9426	4	0
1757	9426	4	0
1757	9426	0	0
2252	9426	0	0
2747	9426	1	0
2249	9426	2	0
2249	9925	4	-300
2249	9925	0	-300
2743	9925	4	-300
2743	9925	4	-300
2743	9925	1	-300
2265	9925	0	-300
2771	9925	3	-300
2771	9420	1	0
2266	9420	1	0
1766	9420	0	0
2263	9420	1	0
1759	9420	1	0
1264	9420	3	0
1264	8908	1	0
766	8908	3	0
766	8411	4	0
766	8411	4	0
766	8411	3	0
766	7918	2	0
766	8403	1	0
269	8403	4	-300
269	8403	4	-300
269	8403	3	-300
269	7890	2	-300
269	8398	3	-300
269	7904	0	-300
774	7904	3	0
774	7402	1	0
289	7402	0	-300
787	7402	3	0
787	6894	1	0
289	6894	3	-300
289	6402	0	-300
784	6402	0	0
1277	6402	1	0
779	6402	3	0
779	5901	1	0
275	5901	3	-300
275	5408	4	-300
275	5408	4	-300
275	5408	0	-300
775	5408	0	0
1271	5408	0	0
1769	5408	2	0
1769	5897	1	0
1265	5897	3	0
1265	5404	2	0
1265	5900	0	0
1759	5900	3	0
1759	5386	1	0
1249	5386	3	0
1249	4896	1	0
746	4896	0	0
1252	4896	2	0
1252	5398	1	0
759	5398	3	0
759	4900	2	0
759	5385	2	0
759	5893	1	0
270	5893	4	-300
270	5893	3	-300
270	5402	3	-300
270	4915	3	-300
270	4419	3	-300
270	3913	4	-300
270	3913	4	-300
270	3913	0	-300
770	3913	1	0
276	3913	3	-300
276	3413	3	-300
276	2922	3	-300
276	2426	4	-300
276	2426	4	-300
276	2426	2	-300
276	2929	2	-300
276	3421	0	-300
772	3421	2	0
772	3916	3	0
772	3424	3	0
772	2926	3	0
772	2431	0	0
1268	2431	0	0
1764	2431	1	0
1265	2431	1	0
775	2431	3	0
775	1937	0	0
1260	1937	0	0
1762	1937	4	0
1762	1937	2	0
1762	2430	1	0
1261	2430	1	0
767	2430	0	0
1263	2430	1	0
754	2430	0	0
1254	2430	4	0
1254	2430	2	0
1254	2926	3	0
1254	2429	4	0
1254	2429	0	0
1755	2429	0	0
2252	2429	0	0
2755	2429	2	0
2755	2905	0	0
3255	2905	2	0
3255	3404	4	0
3255	3404	0	0
3767	3404	4	0
3767	3404	0	0
4262	3404	3	0
4262	2908	2	0
4262	3405	0	0
4770	3405	4	0
4770	3405	2	0
4770	3893	0	0
5262	3893	4	0
5262	3893	3	0
5262	3409	3	0
5262	2917	3	300
5262	2412	3	0
5262	1916	2	0
5262	2430	1	0
4763	2430	0	0
5259	2430	0	0
5752	2430	2	0
