x	y	a	r
1351	1044	2	300
1351	1537	2	0
1351	2032	1	0
856	2032	0	0
1350	2032	3	0
1350	1533	1	0
860	1533	4	0
860	1533	2	0
860	2032	0	0
1348	2032	1	0
847	2032	1	0
347	2032	3	0
347	1528	4	0
347	1528	2	0
347	2023	3	0
347	1535	0	0
848	1535	4	0
848	1535	2	0
848	2028	4	0
848	2028	1	0
350	2028	4	0
350	2028	4	0
350	2028	4	0
350	2028	3	0
350	1528	3	0
350	1026	4	0
350	1026	4	0
350	1026	2	0
350	1516	0	0
848	1516	2	0
848	2022	0	0
1329	2022	3	0
1329	1527	0	0
1826	1527	0	0
2326	1527	2	300
2326	2028	2	0
2326	2525	1	0
1831	2525	1	0
1339	2525	2	0
1339	3042	3	0
1339	2544	0	0
1849	2544	1	0
1337	2544	4	0
1337	2544	2	0
1337	3050	4	0
1337	3050	3	0
1337	2551	0	0
1845	2551	0	0
2345	2551	4	0
2345	2551	0	0
2833	2551	1	0
2334	2551	1	0
1836	2551	2	0
1836	3047	4	0
1836	3047	0	0
2342	3047	1	0
1833	3047	3	0
1833	2543	2	0
1833	3047	1	0
1338	3047	4	0
1338	3047	4	0
1338	3047	4	0
1338	3047	0	0
1840	3047	2	0
1840	3552	2	0
1840	4051	2	0
1840	4544	0	0
2332	4544	0	0
2831	4544	1	0
2337	4544	0	0
2830	4544	0	0
3336	4544	1	0
2847	4544	4	0
2847	4544	0	0
3350	4544	4	0
3350	4544	4	0
3350	4544	0	0
3841	4544	1	0
3336	4544	4	0
3336	4544	3	0
3336	4049	4	0
3336	4049	0	0
3843	4049	0	0
4350	4049	1	0
3853	4049	2	0
3853	4553	1	0
3353	4553	0	0
3864	4553	4	0
3864	4553	1	0
3367	4553	3	0
3367	4049	0	0
3864	4049	2	0
3864	4541	3	0
3864	4041	2	0
3864	4537	4	0
3864	4537	2	0
3864	5043	0	0
4363	5043	1	0
3867	5043	2	0
3867	5535	0	0
4372	5535	1	0
3881	5535	0	0
4371	5535	1	0
3876	5535	0	0
4379	5535	2	0
4379	6037	2	0
4379	6531	3	0
4379	6046	4	0
4379	6046	1	0
3888	6046	1	0
3384	6046	3	0
3384	5555	4	0
3384	5555	0	0
3882	5555	0	0
4381	5555	3	0
4381	5058	0	0
4880	5058	2	0
4880	5554	2	0
4880	6055	3	0
4880	5555	1	0
4373	5555	1	0
3879	5555	0	0
4368	5555	4	0
4368	5555	3	0
4368	5053	3	0
4368	4553	4	0
4368	4553	4	0
4368	4553	3	0
4368	4052	3	0
4368	3567	3	0
4368	3079	2	300
4368	3577	2	0
4368	4065	2	0
4368	4557	3	0
4368	4059	4	0
4368	4059	4	0
4368	4059	3	0
4368	3567	4	0
4368	3567	1	0
3877	3567	4	0
3877	3567	4	0
3877	3567	0	0
4369	3567	0	0
4867	3567	0	0
5366	3567	3	300
5366	3066	1	300
4863	3066	2	300
4863	3566	3	0
4863	3077	2	300
4863	3556	0	0
5362	3556	3	300
5362	3065	2	300
5362	3560	0	300
5863	3560	2	300
5863	4054	2	300
5863	4558	0	0
6369	4558	0	300
6872	4558	2	300
6872	5051	1	300
6388	5051	2	0
6388	5541	1	0
5894	5541	3	0
5894	5050	0	0
6400	5050	4	0
6400	5050	0	0
6903	5050	4	300
6903	5050	3	300
6903	4555	2	300
6903	5045	4	300
6903	5045	2	300
6903	5537	4	0
6903	5537	2	0
6903	6037	1	0
6401	6037	4	0
6401	6037	1	0
5902	6037	4	0
5902	6037	0	0
6404	6037	2	0
6404	6526	1	0
5895	6526	1	0
5398	6526	4	0
5398	6526	4	0
5398	6526	2	0
5398	7021	2	0
5398	7520	1	0
4890	7520	0	0
5387	7520	0	0
5878	7520	4	0
5878	7520	0	0
6368	7520	4	0
6368	7520	3	0
6368	7023	2	0
6368	7519	2	0
6368	8011	4	0
6368	8011	1	0
5864	8011	0	0
6364	8011	1	0
5866	8011	2	0
5866	8497	4	0
5866	8497	0	0
6360	8497	4	0
6360	8497	4	0
6360	8497	4	0
