x	y	a	r
7831	8088	4	0
7831	8088	4	0
7831	8088	0	0
8341	8088	1	0
7834	8088	3	0
7834	7582	4	0
7834	7582	0	0
8334	7582	3	0
8334	7077	1	0
7839	7077	2	0
7839	7562	4	0
7839	7562	4	0
7839	7562	3	0
7839	7070	0	0
8352	7070	2	0
8352	7556	0	0
8852	7556	4	300
8852	7556	1	300
8367	7556	3	0
8367	7052	0	0
8856	7052	1	300
8347	7052	4	0
8347	7052	4	0
8347	7052	4	0
8347	7052	4	0
8347	7052	3	0
8347	6556	4	300
8347	6556	3	300
8347	6059	4	300
8347	6059	3	300
8347	5572	3	0
8347	5067	2	0
8347	5560	3	0
8347	5076	0	0
8853	5076	0	0
9348	5076	3	0
9348	4578	4	0
9348	4578	3	0
9348	4078	2	0
9348	4575	3	0
9348	4078	0	0
9851	4078	3	0
9851	3580	4	0
9851	3580	1	0
9348	3580	0	0
9847	3580	4	0
9847	3580	1	0
9361	3580	4	0
9361	3580	0	0
9871	3580	2	0
9871	4081	3	0
9871	3586	3	0
9871	3082	4	0
9871	3082	1	0
9377	3082	1	0
8889	3082	2	0
8889	3586	2	0
8889	4077	1	0
8394	4077	0	0
8898	4077	2	0
8898	4569	2	0
8898	5067	3	0
8898	4572	1	0
8408	4572	2	0
8408	5065	0	0
8912	5065	2	0
8912	5563	3	0
8912	5068	3	0
8912	4574	1	0
8418	4574	3	0
8418	4090	3	0
8418	3586	3	0
8418	3094	0	0
8912	3094	3	0
8912	2608	0	0
9405	2608	4	0
9405	2608	2	0
9405	3103	3	0
9405	2607	4	0
9405	2607	2	0
9405	3110	4	0
9405	3110	2	0
9405	3613	0	0
9905	3613	1	0
9394	3613	4	0
9394	3613	2	0
9394	4102	3	0
9394	3617	4	0
9394	3617	0	0
9897	3617	3	0
9897	3135	3	0
9897	2639	1	0
9389	2639	1	0
8876	2639	2	0
8876	3135	3	0
8876	2637	4	0
8876	2637	1	0
8376	2637	0	0
8879	2637	1	0
8385	2637	2	0
8385	3131	0	0
8895	3131	3	0
8895	2644	4	0
8895	2644	1	0
8402	2644	2	0
8402	3142	4	0
8402	3142	1	0
7898	3142	0	0
8381	3142	1	0
7878	3142	4	0
7878	3142	3	0
7878	2639	4	0
7878	2639	3	0
7878	2141	1	0
7378	2141	2	0
7378	2641	2	0
7378	3147	3	0
7378	2655	0	0
7862	2655	2	0
7862	3150	1	0
7365	3150	2	0
7365	3643	4	0
7365	3643	4	0
7365	3643	1	0
6853	3643	3	0
6853	3146	3	0
6853	2640	1	0
6352	2640	4	0
6352	2640	0	0
6856	2640	0	0
7352	2640	0	0
7859	2640	1	0
7364	2640	4	0
7364	2640	4	0
7364	2640	4	0
7364	2640	0	0
7857	2640	2	0
7857	3136	3	0
7857	2633	2	0
7857	3133	1	0
7374	3133	2	0
7374	3633	1	0
6879	3633	1	0
6387	3633	2	0
6387	4118	4	300
6387	4118	2	300
6387	4615	4	0
6387	4615	2	0
6387	5107	1	0
5896	5107	4	0
5896	5107	2	0
5896	5600	1	0
5391	5600	2	0
