x	y	a	r
0	0	4	300
0	0	2	300
0	499	4	300
0	499	3	300
0	6	4	300
0	6	4	300
0	6	2	300
0	490	0	300
501	490	1	0
3	490	0	300
499	490	2	300
499	979	3	0
499	487	1	300
0	487	2	300
0	991	2	0
0	1485	0	0
496	1485	3	0
496	981	2	0
496	1469	3	0
496	972	3	0
496	486	0	300
1009	486	2	0
1009	995	2	300
1009	1486	2	0
1009	1981	2	0
1009	2473	2	0
1009	2973	2	0
1009	3480	4	0
1009	3480	0	0
1502	3480	0	0
1994	3480	1	0
1497	3480	4	0
1497	3480	4	0
1497	3480	0	0
1983	3480	3	0
1983	2964	4	0
1983	2964	1	0
1487	2964	1	0
988	2964	3	0
988	2461	1	0
487	2461	2	0
487	2948	0	0
1001	2948	1	0
511	2948	0	0
993	2948	0	0
1490	2948	2	0
1490	3451	3	0
1490	2965	0	0
1986	2965	3	0
1986	2465	1	0
1483	2465	4	0
1483	2465	0	0
1978	2465	2	0
1978	2954	2	0
1978	3449	2	0
1978	3950	3	0
1978	3449	2	0
1978	3949	1	0
1491	3949	1	0
987	3949	4	0
987	3949	0	0
1490	3949	4	0
1490	3949	1	0
1001	3949	4	0
1001	3949	1	0
511	3949	1	0
16	3949	0	0
508	3949	2	0
508	4444	2	0
508	4939	4	0
508	4939	2	0
508	5438	0	0
997	5438	4	0
997	5438	4	0
997	5438	3	0
997	4948	2	0
997	5440	3	0
997	4941	4	0
997	4941	1	0
506	4941	2	0
506	5443	0	0
996	5443	1	0
490	5443	3	0
490	4942	2	0
490	5431	0	0
994	5431	2	0
994	5913	1	0
504	5913	1	0
8	5913	0	0
510	5913	1	0
12	5913	3	0
12	5418	3	0
12	4929	2	0
12	5422	4	0
12	5422	2	0
12	5917	2	0
12	6414	2	0
12	6904	0	0
507	6904	3	0
507	6410	3	0
507	5908	2	0
507	6396	1	0
12	6396	0	0
500	6396	3	0
500	5912	2	0
500	6411	0	0
1000	6411	1	0
493	6411	4	0
493	6411	2	0
493	6903	0	0
989	6903	4	0
989	6903	3	0
989	6411	4	0
989	6411	1	0
488	6411	3	0
488	5924	3	0
488	5439	4	0
488	5439	3	0
488	4936	3	0
488	4442	4	0
488	4442	3	0
488	3956	4	0
488	3956	3	0
488	3466	4	0
488	3466	4	0
488	3466	3	0
488	2966	2	0
488	3453	0	0
977	3453	3	0
977	2957	0	0
1484	2957	2	0
1484	3446	0	0
1984	3446	3	0
1984	2937	0	0
2493	2937	2	0
2493	3436	3	0
2493	2944	2	0
2493	3443	4	0
2493	3443	4	0
2493	3443	1	0
1980	3443	3	0
1980	2951	4	0
1980	2951	2	0
1980	3443	3	0
1980	2948	0	0
2479	2948	4	0
2479	2948	2	0
2479	3438	4	0
2479	3438	0	0
2967	3438	2	0
2967	3927	2	0
2967	4431	2	0
2967	4921	0	0
3460	4921	3	0
3460	4416	4	0
3460	4416	2	0
3460	4916	0	0
3959	4916	0	0
4452	4916	1	0
3958	4916	1	0
3450	4916	2	0
3450	5400	1	0
2947	5400	4	0
2947	5400	1	0
2445	5400	0	0
2946	5400	0	0
3437	5400	3	0
3437	4890	3	0
3437	4391	1	0
2941	4391	0	0
3447	4391	2	0
3447	4879	4	0
3447	4879	4	0
3447	4879	3	0
3447	4387	0	0
3955	4387	4	0
3955	4387	0	0
4458	4387	3	0
4458	3897	4	0
4458	3897	1	0
3969	3897	4	0
3969	3897	3	0
3969	3409	4	0
3969	3409	1	0
3474	3409	0	0
3974	3409	0	0
4469	3409	1	0
3988	3409	0	0
4486	3409	3	0
4486	2917	0	300
4991	2917	0	0
5473	2917	3	0
5473	2413	4	0
5473	2413	2	0
5473	2903	0	0
5975	2903	1	0
5477	2903	1	0
4973	2903	4	0
4973	2903	3	0
4973	2398	4	0
4973	2398	3	0
4973	1893	0	0
5470	1893	3	0
5470	1406	1	0
4973	1406	1	0
4471	1406	4	0
4471	1406	0	0
4970	1406	4	0
4970	1406	2	0
4970	1892	3	0
4970	1406	4	0
4970	1406	4	0
4970	1406	4	0
4970	1406	3	0
4970	907	0	0
5477	907	2	0
5477	1403	3	0
5477	917	0	0
5979	917	4	0
5979	917	3	0
5979	424	4	0
5979	424	1	0
5483	424	1	0
4987	424	1	0
4487	424	2	0
4487	927	0	0
4977	927	1	0
4466	927	0	0
4971	927	3	0
4971	429	1	0
4474	429	2	0
4474	918	4	0
4474	918	0	0
4975	918	3	0
4975	424	1	0
4477	424	1	0
3981	424	2	0
3981	918	0	0
4473	918	4	0
4473	918	0	0
4970	918	2	0
4970	1418	2	0
4970	1921	2	0
4970	2421	4	0
4970	2421	2	0
4970	2912	3	0
4970	2418	1	0
4475	2418	1	0
3963	2418	3	300
3963	1929	3	0
3963	1429	1	0
3471	1429	2	0
3471	1924	1	300
2971	1924	1	300
2476	1924	1	0
1974	1924	0	0
2482	1924	2	0
2482	2434	1	0
1991	2434	1	0
1491	2434	4	0
1491	2434	2	0
1491	2916	2	0
1491	3410	4	0
1491	3410	4	0
1491	3410	4	0
1491	3410	2	0
1491	3896	2	0
1491	4384	1	0
979	4384	1	0
477	4384	4	0
477	4384	3	0
477	3893	4	0
477	3893	2	0
477	4393	4	0
477	4393	0	0
978	4393	2	0
978	4880	3	0
978	4388	0	0
1475	4388	3	0
1475	3878	2	0
1475	4370	2	0
1475	4872	1	0
966	4872	0	0
