@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data

4000,2500,300
4000,2500,300
4000,2004,300
3505,2004,300
3998,2004,300
4493,2004,0
4493,1491,0
4493,987,0
4493,987,0
4493,1479,0
4493,1479,0
4992,1479,0
4992,975,0
4992,1471,0
4992,983,0
4992,1486,0
5488,1486,0
5488,1486,0
5488,984,0
5488,984,0
5488,1482,0
5488,989,0
5488,1483,0
5488,1483,0
5488,1483,0
5990,1483,0
5990,1989,0
6480,1989,0
6480,2484,0
6480,2484,0
6980,2484,0
6980,2968,0
6980,2968,0
6980,2468,0
6980,1980,0
6980,1485,0
6980,1485,0
6980,985,0
7473,985,0
7473,1477,0
7967,1477,0
7967,1477,0
8463,1477,0
8463,1973,0
8463,2476,0
8463,2983,0
8970,2983,0
8477,2983,0
8969,2983,0
8969,2983,0
8467,2983,0
8467,3461,0
8467,2962,0
8467,3446,0
8968,3446,0
8477,3446,0
8975,3446,0
9481,3446,0
9969,3446,0
9969,2945,0
9472,2945,0
9977,2945,0
9977,2448,0
9977,2448,0
9977,2956,0
9481,2956,0
9481,2956,0
8987,2956,0
8987,2455,0
8987,2944,0
8987,3423,0
9479,3423,0
9479,3912,0
9479,3912,0
9479,4406,0
9479,4914,0
9479,5410,0
9479,5410,0
9479,5410,0
9479,5410,0
9479,4921,0
9479,4420,0
9977,4420,0
9977,4917,0
9977,5409,0
9470,5409,0
9470,5409,0
8972,5409,0
8972,4911,0
8469,4911,0
8469,5406,0
7974,5406,0
7974,5406,0
8485,5406,0
8485,5406,0
8999,5406,0
9497,5406,0
9004,5406,0
9004,4904,0
9506,4904,0
9985,4904,0
9479,4904,0
9968,4904,0
9968,5399,0
9968,5399,0
9968,5885,0
9968,5885,0
9968,5386,0
9456,5386,0
9456,4889,0
8960,4889,0
8960,5385,0
8960,5871,0
9456,5871,0
9456,6371,0
9456,6864,0
9961,6864,0
9961,7367,0
9961,7862,0
9961,7364,0
9961,7863,0
9961,7863,0
9468,7863,0
8968,7863,300
9469,7863,0
9469,7356,0
8964,7356,300
9468,7356,0
9468,7862,0
8982,7862,300
8489,7862,0
8990,7862,300
8990,7369,300
9486,7369,0
9486,7863,0
9486,7353,0
9486,7353,0
8990,7353,300
8990,7851,300
8990,7351,300
8506,7351,300
8014,7351,0
8014,6856,300
8014,6856,300
7510,6856,0
7510,6856,0
7510,7354,0
7510,6853,0
7510,6853,0
7510,6853,0
7016,6853,0
6513,6853,0
6513,6853,0
6513,6347,0
6513,6347,0
7022,6347,0
7022,5854,0
6521,5854,0
7014,5854,0
7014,5854,0
7014,5352,300
6520,5352,0
7018,5352,300
6526,5352,0
6526,5352,0
7011,5352,300
6505,5352,0
6505,5352,0
6505,5352,0
6505,4856,300
6505,5349,0
6505,4856,300
6505,4356,0
6505,3860,0
6505,3358,0
7009,3358,0
7009,3850,0
7512,3850,0
8011,3850,0
8011,4348,0
7504,4348,0
7504,4348,0
7009,4348,0
7009,3866,0
7519,3866,0
7519,3866,0
7519,3363,0
7519,3862,0
8008,3862,0
7509,3862,0
8001,3862,0
7502,3862,0
7502,3374,0
7005,3374,0
7005,3374,0
7510,3374,0
8019,3374,0
8513,3374,0
8513,2881,0
8513,2381,0
8008,2381,0
7517,2381,0
7517,2874,0
7007,2874,0
7007,2384,0
7510,2384,0
7010,2384,0
6502,2384,0
7008,2384,0
6500,2384,0
6500,1883,0
6500,1394,0
7003,1394,0
7003,1905,0
6500,1905,0
6013,1905,0
6013,1413,0
6013,910,0
5505,910,0
5505,405,0
6008,405,0
6008,904,0
6008,904,0
5515,904,0
5515,904,0
5515,412,0
5515,907,0
5515,1414,0
5515,1908,0
6011,1908,0
6499,1908,0
6499,2401,0
6499,2898,0
6499,2387,0
6009,2387,0
5504,2387,0
5504,2880,0
5504,2880,0
6006,2880,0
6496,2880,0
6997,2880,0
6997,3373,0
6997,3373,0
6997,3373,0
6997,3882,0
6997,4380,0
6997,4380,0
6997,3887,0
6997,3887,0
6997,3887,0
7477,3887,0
7477,4384,0
7972,4384,0
7465,4384,0
6962,4384,0
7458,4384,0
7458,4384,0
6958,4384,0
6958,4384,0
7455,4384,0
7455,4384,0
7950,4384,0
8439,4384,0
8439,3875,0
8932,3875,0
9417,3875,0
9417,4382,0
9417,3886,0
9417,4391,0
8911,4391,0
8911,3898,0
8911,3898,0
8911,4387,0
8414,4387,0
8414,4874,0
8414,5375,0
8414,5885,0
8414,5885,0
8414,5378,0
8414,5875,0
7924,5875,300
7924,6377,0
7924,6377,0
7436,6377,0
6948,6377,0
6948,6878,0
7451,6878,0
7451,6878,0
7451,7371,0
7451,7371,0
7943,7371,0
8447,7371,0
8949,7371,300
8459,7371,0
8972,7371,300
8972,6884,0
8466,6884,300
8466,6884,300
8466,6884,300
7956,6884,0
7956,6884,0
7956,6884,0
7956,6884,0
8442,6884,300
8442,7376,0
8941,7376,300
8941,6886,0
9425,6886,0
9937,6886,0
9937,6886,0
9937,6398,0
9937,6398,0
9937,5896,0
9937,5398,0
9937,4901,0
9937,4901,0
9428,4901,0
9428,5408,0
8940,5408,0
8940,5408,0
8441,5408,0
8941,5408,0
9434,5408,0
9434,5901,0
9434,6407,0
8939,6407,0
8939,5916,0
8446,5916,0
8948,5916,0
9428,5916,0
9913,5916,0
9913,5422,0
9913,5919,0
9913,5426,0
9415,5426,0
8915,5426,0
8915,5426,0
9405,5426,0
9405,4936,0
9405,5433,0
9405,4927,0
9405,4424,0
8912,4424,0
8425,4424,0
8425,3924,0
8425,3924,0
8914,3924,0
8914,3924,0
8914,4411,0
8914,4913,0
8914,4913,0
8914,4913,0
9412,4913,0
9897,4913,0
9897,4435,0
9406,4435,0
9406,4435,0
9406,4435,0
9902,4435,0
9902,4926,0
9405,4926,0
9405,5412,0
8906,5412,0
8906,5905,0
8906,6404,0
8906,5903,0
8906,5903,0
8906,5903,0
8906,6404,0
9395,6404,0
8894,6404,0
9384,6404,0
9384,6897,0
8884,6897,0
9385,6897,0
9886,6897,0
9886,6897,0
9387,6897,0
9387,6897,0
9387,6398,0
9884,6398,0
9884,5918,0
9884,5423,0
9391,5423,0
9878,5423,0
9878,5942,0
9381,5942,0
9381,5449,0
9872,5449,0
9872,5449,0
9872,4948,0
9872,4467,0
9872,4467,0
9872,3976,0
9872,3976,0
9872,3976,0
9872,4467,0
9872,3975,0
9872,3975,0
9872,4474,0
9872,3981,0
9872,4477,0
9872,4967,0
9872,5465,0
9872,5465,0
9872,5954,0
9872,5954,0
9872,6450,0
9872,6450,0
9872,5952,0
9872,6455,0
9365,6455,0
9850,6455,0
9850,6455,0
9850,6455,0
9850,6455,0
9850,5960,0
9354,5960,0
9354,6453,0
9354,6946,0
9354,6946,0
8862,6946,0
8363,6946,300
7870,6946,0
8372,6946,300
7877,6946,0
7877,6946,0
7877,6946,0
7877,6946,0
7877,6946,0
7382,6946,0
7877,6946,0
7387,6946,0
6898,6946,0
6898,6447,0
6898,5943,0
6898,6449,0
6403,6449,0
6888,6449,0
6888,6953,0
7379,6953,0
7379,7445,0
6871,7445,0
7368,7445,0
7869,7445,0
7869,7934,0
7869,8444,0
8359,8444,0
7865,8444,0
7360,8444,0
7360,7949,0
7851,7949,0
8354,7949,0
8354,7949,0
8854,7949,300
8854,8447,0
8854,8941,0
8854,8941,0
8854,8440,0
8854,8440,0
8854,8440,0
9353,8440,300
9353,8945,0
8863,8945,0
8863,8454,0
8863,7976,300
8365,7976,0
8365,7487,0
8365,6984,300
8365,6984,300
8865,6984,0
8865,7474,300
8865,7474,300
8865,7971,300
8865,7474,300
8371,7474,0
8371,7474,0
8877,7474,300
8877,7474,300
8877,7474,300
8877,7967,300
8877,7967,300
8877,7475,300
8877,7475,300
9369,7475,0
9369,7475,0
9369,7475,0
8877,7475,300
8877,7475,300
8877,7475,300
8877,6972,0
8877,6972,0
8877,6972,0
9374,6972,0
9881,6972,0
9881,7465,0
9386,7465,0
9386,7972,0
9386,7481,0
9386,7985,0
8886,7985,300
8886,7985,300
9380,7985,0
9380,7498,0
9877,7498,0
9401,7498,0
9401,7991,0
8914,7991,300
8914,7483,300
8914,6978,0
9412,6978,0
8925,6978,0
8925,6978,0
8925,7477,300
8925,7477,300
8925,6977,0
8425,6977,300
8425,6977,300
8935,6977,0
9434,6977,0
9434,7475,0
9434,7475,0
9434,7970,0
9434,7474,0
8942,7474,300
8942,6984,0
8942,7477,300
8443,7477,0
8443,7477,0
8443,7477,0
8938,7477,300
9430,7477,0
9929,7477,0
9429,7477,0
9429,7974,0
9429,8468,300
9429,8962,0
8932,8962,0
9430,8962,0
9930,8962,300
9930,8962,300
9930,8456,0
9930,7951,0
9425,7951,0
8933,7951,300
9432,7951,0
9924,7951,0
9924,7441,0
9924,7441,0
9924,6928,0
9431,6928,0
9431,6432,0
9930,6432,0
9930,6432,0
9930,6432,0
9930,6432,0
9930,6432,0
9930,5930,0
9930,5431,0
9930,5918,0
9930,6416,0
9930,6416,0
9930,6917,0
9930,6917,0
9930,6917,0
9930,6428,0
9930,5931,0
9930,5435,0
9930,4927,0
9930,4441,0
9930,3930,0
9930,3433,0
9930,3433,0
9930,3433,0
9427,3433,0
9932,3433,0
9436,3433,0
8940,3433,0
9436,3433,0
9926,3433,0
9440,3433,0
9440,2942,0
9440,2942,0
9440,2942,0
9440,3433,0
8939,3433,0
8429,3433,0
8928,3433,0
8431,3433,0
8431,3433,0
8928,3433,0
8928,3937,0
9426,3937,0
9426,3937,0
9922,3937,0
9922,4431,0
9430,4431,0
9430,4431,0
9430,4431,0
9922,4431,0
9922,4431,0
9922,3937,0
9922,3937,0
9922,4424,0
9429,4424,0
8933,4424,0
8933,4916,0
8933,4426,0
9434,4426,0
9434,3913,0
9434,3913,0
9928,3913,0
9928,3913,0
9928,4406,0
9928,4406,0
9928,4901,0
9928,5387,0
9928,5875,0
9928,6371,0
9928,5875,0
9928,5373,0
9928,5373,0
9928,5373,0
9928,5373,0
9928,5877,0
9928,5382,0
9928,4873,0
9928,4390,0
9928,4390,0
9444,4390,0
9444,3885,0
9444,3386,0
9444,2902,0
9444,2902,0
9947,2902,0
9947,2902,0
9947,2902,0
9947,2902,0
9947,3414,0
9446,3414,0
9944,3414,0
9944,2913,0
9944,2913,0
9944,3424,0
9944,2934,0
9944,3430,0
9944,3939,0
9944,3435,0
9944,3929,0
9441,3929,0
9943,3929,0
9943,3929,0
9943,3929,0
9943,3428,0
9436,3428,0
9436,3921,0
9436,3424,0
9436,3931,0
9436,3931,0
9934,3931,0
9934,3931,0
9430,3931,0
9430,3931,0
9430,3438,0
9430,3927,0
9920,3927,0
9426,3927,0
8932,3927,0
9433,3927,0
9933,3927,0
9444,3927,0
9444,3927,0
9444,4427,0
9444,4427,0
9444,4427,0
9444,3931,0
9444,4423,0
9444,4925,0
9933,4925,0
9933,4925,0
9933,4925,0
9433,4925,0
9433,5420,0
9936,5420,0
9438,5420,0
9438,5924,0
9438,5924,0
9438,6422,0
8940,6422,0
9427,6422,0
9427,6913,0
9427,6913,0
9427,6913,0
9912,6913,0
9414,6913,0
9414,7423,0
9414,7423,0
9414,6929,0
9904,6929,0
9904,6434,0
9904,6434,0
9904,5934,0
9904,5435,0
9904,4944,0
9904,4447,0
9904,4447,0
9421,4447,0
9421,4942,0
9421,5440,0
9421,4942,0
8919,4942,0
8919,5433,0
8919,5433,0
8919,5926,0
9401,5926,0
9907,5926,0
9907,6417,0
9907,6417,0
9907,5915,0
9405,5915,0
8908,5915,0
8908,5412,0
8405,5412,0
8901,5412,0
8401,5412,0
8401,5922,0
8401,5922,0
8401,6423,300
8401,6423,300
8401,6914,300
8401,6412,300
7905,6412,0
7408,6412,0
7408,5909,0
7408,6414,0
7408,6911,0
6904,6911,0
6904,7406,0
6904,7911,0
6904,7410,0
7397,7410,0
7397,7918,0
7397,8427,0
7397,8920,0
7397,8920,0
7397,8920,0
7892,8920,0
7391,8920,0
6891,8920,0
6891,8920,0
6891,9417,0
6389,9417,0
6890,9417,0
6890,9417,0
6890,9417,0
6890,8921,0
6890,8921,0
7385,8921,0
7385,8921,0
7884,8921,0
7884,9416,0
7884,9913,0
7884,9410,0
8388,9410,0
8388,9913,0
8388,9421,0
8888,9421,0
8390,9421,0
8390,9920,0
7891,9920,0
8386,9920,0
8889,9920,0
8889,9419,0
8889,9908,0
8889,9908,0
9399,9908,0
9399,9399,0
9399,8907,0
9399,8416,300
8894,8416,0
8894,7922,300
8894,7430,300
8894,6936,0
9395,6936,0
8916,6936,0
8916,6442,0
9419,6442,0
9419,6442,0
9419,5935,0
8916,5935,0
8424,5935,0
8424,5432,0
8922,5432,0
8922,4945,0
8922,5451,0
8922,5451,0
8922,5451,0
9421,5451,0
9421,5935,0
9421,5437,0
8930,5437,0
8930,4944,0
8930,4457,0
8433,4457,0
8433,4457,0
8433,4457,0
8433,3957,0
8433,4462,0
8433,3967,0
7930,3967,0
7930,4456,0
7930,4960,0
8435,4960,0
8936,4960,0
8936,4960,0
8936,4452,0
8936,4452,0
9436,4452,0
9436,4952,0
9436,4952,0
9928,4952,0
9423,4952,0
9423,4434,0
9423,3925,0
9423,3431,0
9423,3431,0
9423,3431,0
9423,3431,0
9423,3431,0
9423,3431,0
9423,3431,0
9926,3431,0
9926,3431,0
9926,3431,0
9420,3431,0
9420,3431,0
9420,3921,0
9927,3921,0
9927,3921,0
9927,3432,0
9927,3928,0
9927,3423,0
9927,3423,0
9927,3423,0
9927,3423,0
9927,3922,0
9433,3922,0
9433,4420,0
9433,4420,0
9433,4420,0
8951,4420,0
8457,4420,0
8457,4917,0
8457,4419,0
7945,4419,0
7444,4419,0
7444,3933,0
7935,3933,0
7935,4430,0
7935,4911,0
7935,5406,0
8438,5406,0
8438,4908,0
8438,5403,0
8438,4901,0
8438,4398,0
8438,3897,0
8438,4393,0
8438,3905,0
8943,3905,0
8454,3905,0
8454,3905,0
8454,3905,0
8957,3905,0
8471,3905,0
8471,4397,0
7960,4397,0
7960,4397,0
8458,4397,0
8458,4397,0
8944,4397,0
9444,4397,0
9444,4397,0
9444,4901,0
9444,4901,0
8948,4901,0
9447,4901,0
9447,4407,0
9447,4407,0
9447,4407,0
9447,3904,0
9948,3904,0
9948,4406,0
9948,4903,0
9948,4903,0
9452,4903,0
8961,4903,0
8961,4413,0
8961,4914,0
8961,4420,0
9457,4420,0
