x	y	a	r
4000	2500	4	300
4000	2500	3	300
4000	2004	1	300
3505	2004	0	300
3998	2004	0	300
4493	2004	3	0
4493	1491	3	0
4493	987	4	0
4493	987	2	0
4493	1479	4	0
4493	1479	0	0
4992	1479	3	0
4992	975	2	0
4992	1471	3	0
4992	983	2	0
4992	1486	0	0
5488	1486	4	0
5488	1486	3	0
5488	984	4	0
5488	984	2	0
5488	1482	3	0
5488	989	2	0
5488	1483	4	0
5488	1483	4	0
5488	1483	0	0
5990	1483	2	0
5990	1989	0	0
6480	1989	2	0
6480	2484	4	0
6480	2484	0	0
6980	2484	2	0
6980	2968	4	0
6980	2968	3	0
6980	2468	3	0
6980	1980	3	0
6980	1485	4	0
6980	1485	3	0
6980	985	0	0
7473	985	2	0
7473	1477	0	0
7967	1477	4	0
7967	1477	0	0
8463	1477	2	0
8463	1973	2	0
8463	2476	2	0
8463	2983	0	0
8970	2983	1	0
8477	2983	0	0
8969	2983	4	0
8969	2983	1	0
8467	2983	2	0
8467	3461	3	0
8467	2962	2	0
8467	3446	0	0
8968	3446	1	0
8477	3446	0	0
8975	3446	0	0
9481	3446	0	0
9969	3446	3	0
9969	2945	1	0
9472	2945	0	0
9977	2945	3	0
9977	2448	4	0
9977	2448	2	0
9977	2956	1	0
9481	2956	4	0
9481	2956	1	0
8987	2956	3	0
8987	2455	2	0
8987	2944	2	0
8987	3423	0	0
9479	3423	2	0
9479	3912	4	0
9479	3912	2	0
9479	4406	2	0
9479	4914	2	0
9479	5410	4	0
9479	5410	4	0
9479	5410	4	0
9479	5410	3	0
9479	4921	3	0
9479	4420	0	0
9977	4420	2	0
9977	4917	2	0
9977	5409	1	0
9470	5409	4	0
9470	5409	1	0
8972	5409	3	0
8972	4911	1	0
8469	4911	2	0
8469	5406	1	0
7974	5406	4	0
7974	5406	0	0
8485	5406	4	0
8485	5406	0	0
8999	5406	0	0
9497	5406	1	0
9004	5406	3	0
9004	4904	0	0
9506	4904	0	0
9985	4904	1	0
9479	4904	0	0
9968	4904	2	0
9968	5399	4	0
9968	5399	2	0
9968	5885	4	0
9968	5885	3	0
9968	5386	1	0
9456	5386	3	0
9456	4889	1	0
8960	4889	2	0
8960	5385	2	0
8960	5871	0	0
9456	5871	2	0
9456	6371	2	0
9456	6864	0	0
9961	6864	2	0
9961	7367	2	0
9961	7862	3	0
9961	7364	2	0
9961	7863	4	0
9961	7863	1	0
9468	7863	1	0
8968	7863	0	300
9469	7863	3	0
9469	7356	1	0
8964	7356	0	300
9468	7356	2	0
9468	7862	1	0
