@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data

0,0,300
487,0,300
487,497,300
487,1,300
487,1,300
487,1,300
974,1,0
974,483,0
974,483,0
974,483,0
974,981,300
974,489,0
1485,489,0
1485,987,300
1485,987,300
1485,987,300
1485,987,300
983,987,300
983,987,300
497,987,0
497,1483,0
1009,1483,0
1009,1980,0
1009,2471,0
1009,1976,0
1009,1976,0
1500,1976,0
1002,1976,0
1002,1976,0
1002,1474,0
1002,1965,0
1002,1965,0
1002,1470,0
1002,983,300
1002,983,300
1488,983,300
1987,983,0
1493,983,300
1991,983,0
2486,983,0
1983,983,0
1983,983,0
1983,492,0
1499,492,0
1983,492,0
1983,983,0
2477,983,0
1973,983,0
2472,983,0
2974,983,0
2974,983,0
2974,492,0
2974,4,0
2477,4,0
2477,4,0
2477,503,0
2477,16,0
2477,501,0
2477,501,0
1981,501,0
1478,501,300
1478,501,300
1478,1,0
1478,489,0
976,489,0
474,489,300
474,489,300
474,995,0
474,1491,0
979,1491,0
979,1491,0
979,990,300
979,1483,0
979,1988,0
979,1988,0
979,2488,0
474,2488,0
474,2488,0
474,2488,0
474,2488,0
474,1979,0
474,1482,0
971,1482,0
971,1482,0
971,993,300
971,993,300
971,993,300
476,993,0
974,993,300
1469,993,300
1975,993,0
1975,489,0
1474,489,0
1474,0,0
1474,0,0
980,0,0
980,497,0
980,0,0
484,0,300
484,0,300
484,500,300
484,500,300
484,500,300
484,988,0
484,488,300
484,979,0
484,492,300
484,1000,0
978,1000,300
482,1000,0
482,1000,0
482,1000,0
482,1000,0
482,1486,0
482,1972,0
482,2468,0
979,2468,0
979,1969,0
1489,1969,0
991,1969,0
991,1969,0
991,1969,0
991,1469,0
991,1469,0
479,1469,0
985,1469,0
1485,1469,0
1485,1469,0
988,1469,0
988,1469,0
988,1962,0
988,1962,0
489,1962,0
489,2449,0
992,2449,0
992,1951,0
1476,1951,0
1978,1951,0
2475,1951,0
2977,1951,300
2977,1951,300
3473,1951,300
2971,1951,300
2971,2442,0
2971,1938,300
