x	y	a	r
0	0	0	300
487	0	2	300
487	497	3	300
487	1	4	300
487	1	4	300
487	1	0	300
974	1	2	0
974	483	4	0
974	483	4	0
974	483	2	0
974	981	3	300
974	489	0	0
1485	489	2	0
1485	987	4	300
1485	987	4	300
1485	987	4	300
1485	987	1	300
983	987	4	300
983	987	1	300
497	987	2	0
497	1483	0	0
1009	1483	2	0
1009	1980	2	0
1009	2471	3	0
1009	1976	4	0
1009	1976	0	0
1500	1976	1	0
1002	1976	4	0
1002	1976	3	0
1002	1474	2	0
1002	1965	4	0
1002	1965	3	0
1002	1470	3	0
1002	983	4	300
1002	983	0	300
1488	983	0	300
1987	983	1	0
1493	983	0	300
1991	983	0	0
2486	983	1	0
1983	983	4	0
1983	983	3	0
1983	492	1	0
1499	492	0	0
1983	492	2	0
1983	983	0	0
2477	983	1	0
1973	983	0	0
2472	983	0	0
2974	983	4	0
2974	983	3	0
2974	492	3	0
2974	4	1	0
2477	4	4	0
2477	4	2	0
2477	503	3	0
2477	16	2	0
2477	501	4	0
2477	501	1	0
1981	501	1	0
1478	501	4	300
1478	501	3	300
1478	1	2	0
1478	489	1	0
976	489	1	0
474	489	4	300
474	489	2	300
474	995	2	0
474	1491	0	0
979	1491	4	0
979	1491	3	0
979	990	2	300
979	1483	2	0
979	1988	4	0
979	1988	2	0
979	2488	1	0
474	2488	4	0
474	2488	4	0
474	2488	4	0
474	2488	3	0
474	1979	3	0
474	1482	0	0
971	1482	4	0
971	1482	3	0
971	993	4	300
971	993	4	300
971	993	1	300
476	993	0	0
974	993	0	300
1469	993	0	300
1975	993	3	0
1975	489	1	0
1474	489	3	0
1474	0	4	0
1474	0	1	0
980	0	2	0
980	497	3	0
980	0	1	0
484	0	4	300
484	0	2	300
484	500	4	300
484	500	4	300
484	500	2	300
484	988	3	0
484	488	2	300
484	979	3	0
484	492	2	300
484	1000	0	0
978	1000	1	300
482	1000	4	0
482	1000	4	0
482	1000	4	0
482	1000	2	0
482	1486	2	0
482	1972	2	0
482	2468	0	0
979	2468	3	0
979	1969	0	0
1489	1969	1	0
991	1969	4	0
991	1969	4	0
991	1969	3	0
991	1469	4	0
991	1469	1	0
479	1469	0	0
985	1469	0	0
1485	1469	4	0
1485	1469	1	0
988	1469	4	0
988	1469	2	0
988	1962	4	0
988	1962	1	0
489	1962	2	0
489	2449	0	0
992	2449	3	0
992	1951	0	0
1476	1951	0	0
1978	1951	0	0
2475	1951	0	0
2977	1951	4	300
2977	1951	0	300
3473	1951	1	300
2971	1951	2	300
2971	2442	3	0
2971	1938	4	300
2971	1938	4	300
2971	1938	2	300
2971	2427	2	0
2971	2929	4	0
2971	2929	1	0
2473	2929	0	0
2960	2929	4	0
2960	2929	2	0
2960	3425	1	0
2463	3425	4	0
2463	3425	1	0
1971	3425	0	0
2474	3425	3	0
2474	2935	1	0
1967	2935	4	0
1967	2935	4	0
1967	2935	1	0
1465	2935	1	0
967	2935	3	0
967	2428	1	0
483	2428	4	0
483	2428	2	0
483	2918	2	0
483	3412	3	0
483	2913	4	0
483	2913	4	0
483	2913	0	0
979	2913	1	0
487	2913	3	0
487	2414	2	0
487	2907	2	0
487	3403	4	0
487	3403	4	0
487	3403	0	0
980	3403	3	0
980	2900	4	0
980	2900	4	0
980	2900	2	0
980	3410	0	0
1468	3410	4	0
1468	3410	1	0
978	3410	0	0
1480	3410	4	0
1480	3410	4	0
1480	3410	1	0
984	3410	4	0
984	3410	2	0
984	3916	2	0
984	4405	3	0
984	3902	4	0
984	3902	0	0
1500	3902	2	0
1500	4411	4	0
1500	4411	3	0
1500	3924	1	0
995	3924	0	0
1489	3924	2	0
1489	4420	3	0
1489	3915	4	0
1489	3915	3	0
1489	3419	0	0
1989	3419	2	0
1989	3917	4	0
1989	3917	0	0
2480	3917	3	0
2480	3424	1	0
1978	3424	4	0
1978	3424	0	0
2479	3424	3	0
2479	2929	3	0
2479	2440	0	0
2969	2440	0	0
3469	2440	0	0
3973	2440	3	300
3973	1934	3	0
3973	1435	3	0
3973	942	0	0
4469	942	1	0
3961	942	0	0
4475	942	1	0
3973	942	0	0
4474	942	2	0
4474	1434	3	0
4474	936	3	0
4474	446	4	0
4474	446	0	0
4980	446	0	0
5471	446	4	0
5471	446	1	0
4976	446	1	0
4473	446	4	0
4473	446	0	0
4972	446	4	0
4972	446	1	0
4474	446	0	0
4968	446	1	0
4472	446	2	0
4472	941	4	0
