Q	a	r
q0	2	300
q1	2	0
q1	2	0
q1	4	0
q1	2	0
q12	4	0
q12	0	0
q12	3	0
q1	0	0
q11	4	0
q11	4	0
q11	3	0
q5	2	300
q11	3	0
q5	0	300
q7	2	0
q11	2	300
q12	1	0
q12	2	0
q12	3	0
q12	0	0
q12	3	0
q11	1	300
q11	2	0
q12	0	0
q12	1	0
q12	3	0
q11	2	0
q12	0	0
q12	3	0
q11	0	0
q11	0	300
q11	4	300
q11	4	300
q11	2	300
q12	1	0
q12	3	0
q11	2	300
q12	3	0
q11	4	300
q11	2	300
q12	1	0
q12	3	0
q11	4	0
q11	1	0
q11	4	0
q11	0	0
q11	2	0
q12	2	0
q12	0	0
q12	1	0
q12	2	0
q12	2	0
q12	3	0
q12	1	0
q12	4	0
q12	0	0
q12	0	0
q12	3	0
q12	2	0
q12	0	0
q12	2	0
q12	1	0
q12	4	0
q12	0	0
q12	4	0
q12	3	0
q12	4	0
q12	1	0
q12	0	0
q12	0	0
q12	1	0
q12	4	0
q12	1	0
q12	0	0
q12	2	0
q12	3	0
q12	4	0
q12	4	0
q12	4	0
q12	2	0
q12	1	0
q12	1	0
q12	4	0
q12	3	0
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	2	0
q12	1	0
q12	2	0
q12	0	0
q12	1	0
q12	2	0
q12	2	0
q12	1	0
q12	4	0
q12	3	0
q12	0	0
q12	1	0
q12	4	0
q12	3	0
q12	0	0
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	2	0
q12	2	0
q12	1	0
q12	3	0
q12	4	0
q12	3	0
q12	4	0
q12	4	0
q12	4	0
q12	3	0
q12	3	0
q12	3	0
q12	3	0
q12	0	0
q12	0	0
q12	2	0
q12	1	0
q12	4	0
q12	1	0
q12	4	0
q12	2	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	0	0
q12	3	0
q12	1	0
q12	3	0
q12	3	0
q12	0	0
q12	1	0
q12	2	0
q12	3	0
q12	3	0
q12	2	0
q12	2	0
q12	0	0
q12	0	0
q12	2	0
q12	4	0
q12	3	0
q12	1	0
q12	1	0
q12	3	0
q12	0	0
q12	3	0
q12	1	0
q12	3	0
q12	2	0
q12	0	0
q12	3	0
q12	0	0
q12	4	0
q12	0	0
q12	4	0
q12	1	0
q12	0	0
q12	4	0
q12	2	0
q12	0	0
q12	2	0
q12	0	0
q12	0	0
q12	2	0
q12	1	0
q12	0	0
q12	0	0
q13	4	0
q13	1	0
q12	1	0
q12	1	0
q12	2	0
q12	4	0
q12	3	0
q12	4	0
q12	3	0
q12	4	0
q12	4	0
q12	3	0
q12	3	0
q12	1	0
q12	0	0
q12	3	0
q12	0	0
q12	2	0
q12	3	0
q12	2	0
q12	0	0
q12	3	0
q12	3	0
q11	2	300
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	3	0
q12	4	0
q12	3	0
q12	1	0
q12	0	0
q12	3	0
q11	3	300
q10	4	0
q10	1	0
q10	1	0
q9	1	300
q9	4	300
q9	1	300
q8	1	0
q6	0	0
q8	0	0
q9	2	300
q11	4	0
q11	1	0
q11	1	0
q11	2	0
q12	3	0
q11	2	0
q12	1	0
q12	4	0
q12	3	0
q1	0	0
q11	3	0
q6	0	0
q8	0	0
q9	0	300
q9	2	300
q11	3	0
q9	4	300
q9	3	300
q4	0	0
q4	4	0
q4	2	0
q10	3	0
q4	4	0
q4	4	0
q4	3	0
q4	4	0
q4	1	0
q4	0	0
q4	2	0
q4	4	0
q4	1	0
q4	3	0
q4	1	0
q4	2	0
q4	1	0
q3	4	300
q3	4	300
q3	2	300
q7	3	0
q3	4	300
q3	2	300
q8	0	0
q9	4	300
q9	4	300
q9	0	300
q9	1	300
q9	0	300
q9	0	300
q10	1	0
q9	0	300
q10	2	0
q11	1	300
q11	2	0
q12	0	0
q12	2	0
q12	2	0
q12	1	0
q12	1	0
q12	2	0
q12	0	0
q12	3	0
q12	1	0
q12	4	0
q12	4	0
q12	3	0
q12	1	0
q12	2	0
q12	2	0
q12	0	0
q12	4	0
q12	3	0
q12	0	0
q12	0	0
q12	3	0
q12	0	0
q12	4	0
q12	1	0
q12	1	0
q12	0	0
q12	0	0
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	1	0
q12	2	0
q12	2	0
q12	4	0
q12	2	0
q12	3	0
q12	3	0
q12	3	0
q12	2	0
q12	1	0
q12	3	0
q12	0	0
q12	4	0
q12	4	0
q12	3	0
q12	0	0
q12	4	0
q12	3	0
q12	0	0
q13	2	0
q13	0	0
q13	2	0
q13	0	0
q13	4	0
q13	3	0
q13	3	300
q13	4	0
q13	4	0
q13	1	0
q13	2	300
q13	1	0
q13	4	0
q13	2	0
q13	1	0
q12	2	0
q12	1	0
q12	1	0
q12	1	0
q12	3	0
q12	3	0
q12	4	0
q12	1	0
q12	4	0
q12	2	0
q12	3	0
q12	0	0
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	0	0
q12	1	0
q12	1	0
q12	0	0
q12	0	0
q12	2	0
q12	4	0
q12	4	0
q12	1	0
q12	1	0
q12	0	0
q12	4	0
q12	2	0
q12	3	0
q12	2	0
q12	2	0
q12	3	0
q12	0	0
q12	0	0
q12	0	0
q12	2	0
q12	0	0
q14	4	0
q14	0	0
q14	4	0
q14	4	0
q14	4	0
q14	3	0
q13	3	0
q13	3	0
q13	0	0
q13	3	0
q13	0	0
q13	1	0
q13	1	0
q13	4	0
q13	0	0
q13	1	0
q13	0	0
q13	0	0
q13	0	0
q13	1	300
q13	4	0
q13	3	0
q13	1	300
q13	3	300
q13	0	0
q13	2	0
q13	1	300
q13	2	300
q13	3	0
q13	4	300
q13	3	300
q13	3	0
q13	4	0
q13	0	0
q13	0	0
q13	3	0
q11	4	0
q11	4	0
q11	3	0
q10	1	0
q10	3	0
q4	1	0
q4	0	0
q4	3	0
q4	2	0
q4	3	0
q4	2	0
q4	1	0
q4	2	0
q10	0	0
q10	0	0
q10	0	0
q10	1	0
q10	4	0
