x	y	a	r
0	0	2	300
0	505	2	0
0	1013	2	0
0	1503	4	0
0	1503	2	0
0	1993	4	0
0	1993	0	0
512	1993	3	0
512	1495	0	0
1007	1495	4	0
1007	1495	4	0
1007	1495	3	0
1007	998	2	300
1007	1485	3	0
1007	990	0	300
1515	990	2	0
1515	1490	2	300
1515	1984	1	0
1028	1984	2	0
1028	2472	3	0
1028	1968	0	0
1513	1968	3	0
1513	1467	1	300
1006	1467	2	0
1006	1959	0	0
1504	1959	1	0
1009	1959	3	0
1009	1465	2	0
1009	1958	0	0
1499	1958	3	0
1499	1466	0	0
1990	1466	0	300
2480	1466	4	300
2480	1466	4	300
2480	1466	2	300
2480	1969	1	0
1973	1969	3	0
1973	1478	2	300
1973	1970	3	0
1973	1469	4	300
1973	1469	2	300
1973	1959	1	0
1471	1959	3	0
1471	1464	4	0
1471	1464	1	0
965	1464	4	0
965	1464	0	0
1463	1464	2	0
1463	1966	2	0
1463	2454	0	0
1943	2454	1	0
1465	2454	2	0
1465	2951	2	0
1465	3446	3	0
1465	2949	1	0
967	2949	4	0
967	2949	0	0
1473	2949	0	0
1971	2949	3	0
1971	2451	2	0
1971	2933	0	0
2468	2933	2	0
2468	3431	1	0
1968	3431	4	0
1968	3431	0	0
2465	3431	4	0
2465	3431	3	0
2465	2946	4	0
2465	2946	1	0
1971	2946	0	0
2467	2946	0	0
2965	2946	1	0
2465	2946	4	0
2465	2946	1	0
1971	2946	0	0
2471	2946	2	0
2471	3438	3	0
2471	2949	4	0
2471	2949	4	0
2471	2949	4	0
2471	2949	2	0
2471	3445	1	0
1972	3445	1	0
1476	3445	4	0
1476	3445	3	0
1476	2945	2	0
1476	3433	4	0
1476	3433	2	0
1476	3932	4	0
1476	3932	2	0
1476	4426	1	0
970	4426	2	0
970	4933	0	0
1476	4933	1	0
975	4933	2	0
975	5447	2	0
975	5957	1	0
476	5957	4	0
476	5957	3	0
476	5449	0	0
973	5449	1	0
469	5449	4	0
469	5449	3	0
469	4964	0	0
967	4964	2	0
967	5472	4	0
967	5472	2	0
967	5964	4	0
967	5964	2	0
967	6458	2	0
967	6958	1	0
468	6958	3	0
468	6462	4	0
468	6462	3	0
468	5962	4	0
468	5962	4	0
468	5962	4	0
468	5962	3	0
468	5451	3	0
468	4959	3	0
468	4463	3	0
468	3966	0	0
969	3966	0	0
1455	3966	2	0
1455	4457	1	0
961	4457	4	0
961	4457	1	0
474	4457	4	0
474	4457	2	0
474	4947	4	0
474	4947	4	0
474	4947	4	0
474	4947	4	0
474	4947	0	0
983	4947	3	0
983	4457	1	0
478	4457	3	0
478	3961	3	0
478	3466	0	0
976	3466	1	0
479	3466	2	0
479	3973	3	0
479	3474	3	0
479	2985	2	0
479	3497	2	0
479	3993	0	0
980	3993	0	0
1476	3993	2	0
1476	4486	4	0
1476	4486	3	0
1476	3989	1	0
972	3989	1	0
478	3989	3	0
478	3496	0	0
978	3496	3	0
978	2989	1	0
476	2989	3	0
476	2494	2	0
476	3000	0	0
968	3000	3	0
968	2501	0	0
1466	2501	4	0
1466	2501	0	0
1967	2501	4	0
1967	2501	1	0
1469	2501	0	0
1980	2501	4	0
1980	2501	2	0
1980	2997	0	0
2478	2997	2	0
2478	3493	0	0
2965	3493	0	0
3453	3493	2	0
3453	3990	1	0
2956	3990	0	0
3454	3990	0	0
3952	3990	4	0
3952	3990	1	0
3456	3990	1	0
2960	3990	1	0
2471	3990	2	0
2471	4485	4	0
2471	4485	3	0
2471	3996	4	0
2471	3996	3	0
2471	3492	4	0
2471	3492	4	0
2471	3492	3	0
2471	3003	3	0
2471	2510	1	0
1962	2510	0	0
2459	2510	3	0
2459	2015	0	0
2959	2015	2	0
2959	2508	3	0
2959	2016	2	0
2959	2507	0	0
3457	2507	3	0
3457	2013	3	0
3457	1514	2	300
3457	2015	2	0
3457	2524	4	0
3457	2524	2	0
3457	3022	4	0
3457	3022	3	0
3457	2515	4	0
3457	2515	3	0
3457	2019	1	0
2973	2019	0	0
3475	2019	3	0
3475	1516	3	300
3475	1017	4	0
3475	1017	1	0
2964	1017	1	0
2478	1017	1	300
1975	1017	4	300
1975	1017	1	300
1473	1017	1	0
974	1017	0	0
1466	1017	0	0
1958	1017	2	300
1958	1522	4	0
1958	1522	1	0
1456	1522	1	0
961	1522	2	0
961	2020	3	0
961	1527	2	0
961	2030	1	0
470	2030	4	0
470	2030	3	0
470	1521	0	0
974	1521	3	0
974	1024	0	0
1470	1024	0	0
1971	1024	0	300
2465	1024	2	300
2465	1510	3	0
2465	1009	4	300
2465	1009	3	300
2465	506	0	0
2960	506	4	0
2960	506	2	0
2960	1007	3	0
2960	508	4	0
2960	508	4	0
2960	508	3	0
2960	11	4	0
2960	11	1	0
2454	11	0	0
2950	11	2	0
2950	510	4	0
2950	510	1	0
2463	510	3	0
2463	8	1	0
1975	8	2	0
1975	503	1	0
1470	503	4	300
1470	503	4	300
1470	503	2	300
1470	1004	3	0
1470	513	4	300
1470	513	2	300
1470	1013	0	0
1978	1013	4	300
1978	1013	4	300
1978	1013	0	300
2464	1013	1	300
1964	1013	0	300
2459	1013	0	300
2962	1013	1	0
2449	1013	0	300
2943	1013	2	0
2943	1507	1	300
2443	1507	2	0
2443	2005	0	0
2948	2005	2	0
2948	2502	2	0
2948	3002	1	0
2460	3002	1	0
1961	3002	2	0
1961	3498	0	0
2462	3498	3	0
2462	3001	1	0
1965	3001	4	0
1965	3001	4	0
1965	3001	3	0
1965	2519	1	0
1485	2519	2	0
1485	3013	2	0
1485	3498	0	0
1977	3498	4	0
1977	3498	3	0
1977	3005	0	0
2475	3005	0	0
2980	3005	3	0
2980	2505	0	0
3472	2505	4	0
3472	2505	1	0
2976	2505	1	0
2485	2505	0	0
2991	2505	0	0
3499	2505	2	0
3499	3000	4	0
3499	3000	2	0
3499	3512	4	0
3499	3512	1	0
3007	3512	2	0
3007	4024	2	0
3007	4529	4	0
3007	4529	2	0
3007	5016	3	0
3007	4518	3	0
3007	4010	3	0
3007	3514	2	0
3007	4020	1	0
2509	4020	3	0
2509	3519	0	0
3004	3519	4	0
3004	3519	4	0
3004	3519	3	0
3004	3025	0	0
3495	3025	4	0
3495	3025	3	0
3495	2522	0	0
3994	2522	2	0
3994	3019	0	0
4494	3019	2	0
4494	3521	0	0
4991	3521	4	0
4991	3521	3	0
4991	3027	3	300
4991	2533	4	0
4991	2533	4	0
4991	2533	1	0
4489	2533	2	300
4489	3033	1	0
3990	3033	4	0
3990	3033	2	0
3990	3528	1	0
3493	3528	2	0
3493	4016	1	0
2995	4016	1	0
2501	4016	1	0
1994	4016	3	0
1994	3533	3	0
1994	3041	4	0
1994	3041	1	0
1503	3041	4	0
1503	3041	2	0
1503	3539	3	0
1503	3057	0	0
1995	3057	2	0
1995	3562	4	0
1995	3562	2	0
1995	4053	4	0
1995	4053	0	0
2486	4053	1	0
1990	4053	1	0
1479	4053	0	0
1973	4053	0	0
2466	4053	2	0
2466	4551	4	0
2466	4551	4	0
2466	4551	1	0
1962	4551	1	0
1461	4551	0	0
1960	4551	4	0
1960	4551	2	0
1960	5038	3	0
1960	4550	2	0
1960	5041	2	0
1960	5526	3	0
1960	5030	0	0
2463	5030	0	0
2949	5030	0	0
3455	5030	2	0
3455	5511	0	0
3957	5511	4	0
3957	5511	0	0
4445	5511	4	0
4445	5511	4	0
4445	5511	4	0
4445	5511	3	0
4445	5011	3	0
4445	4514	3	0
4445	4027	0	0
4947	4027	3	0
4947	3530	0	0
5438	3530	1	0
4938	3530	1	0
4447	3530	4	0
4447	3530	0	0
4943	3530	1	0
4452	3530	0	0
4951	3530	0	0
5443	3530	0	0
5940	3530	1	300
5434	3530	4	0
5434	3530	3	0
5434	3024	1	300
4947	3024	3	300
4947	2531	0	0
5453	2531	2	0
5453	3044	1	300
4953	3044	2	300
4953	3555	3	0
4953	3059	4	300
4953	3059	3	300
4953	2560	3	0
4953	2059	4	0
4953	2059	0	0
5451	2059	0	0
5941	2059	3	0
5941	1559	4	0
5941	1559	4	0
5941	1559	3	0
