@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data

0,0,300
0,0,300
0,499,300
0,7,300
0,7,300
0,514,0
0,514,0
0,20,300
496,20,300
988,20,0
988,537,300
988,537,300
1485,537,300
1485,50,0
980,50,0
1476,50,0
1476,557,300
982,557,300
982,557,300
982,63,0
982,563,300
1474,563,300
975,563,300
975,563,300
1474,563,300
1474,1066,0
1474,581,300
1970,581,0
1970,80,0
2470,80,0
1976,80,0
2477,80,0
2477,80,0
2477,80,0
2477,80,0
1978,80,0
2480,80,0
2969,80,0
2469,80,0
2959,80,0
2454,80,0
1952,80,0
2454,80,0
2454,574,0
2949,574,0
2949,1076,0
2949,1076,0
2949,1076,0
2949,584,0
2454,584,0
2454,83,0
2454,83,0
2454,577,0
2454,577,0
2956,577,0
3455,577,0
3455,577,0
2954,577,0
2954,1079,0
2954,1573,300
2954,1573,300
3447,1573,300
3447,1573,300
3447,1079,0
3447,593,0
2953,593,0
2463,593,0
2463,593,0
1969,593,0
2477,593,0
2477,1089,300
2477,1089,300
2477,586,0
2477,586,0
2477,1093,300
2967,1093,0
2967,1586,300
2967,1586,300
3463,1586,300
3954,1586,0
3954,2094,300
3465,2094,0
3960,2094,300
3960,2094,300
3960,2587,0
3960,3068,0
4457,3068,0
4457,3567,0
4457,3567,0
4947,3567,0
5431,3567,0
5928,3567,300
6427,3567,0
6427,4065,300
6916,4065,0
6916,3573,0
7409,3573,0
7409,3573,0
7409,4066,0
7409,3563,0
7903,3563,0
7903,4064,0
7903,4064,0
7903,3563,0
7903,3563,0
7903,3080,0
7903,2579,0
7903,2579,0
7903,2082,0
7903,1582,0
7903,1083,0
7903,591,0
7903,1089,0
7402,1089,0
7402,1578,0
7402,2082,0
6921,2082,0
6921,2582,0
6421,2582,0
6918,2582,0
6918,2089,0
6918,2089,0
6918,2582,0
6415,2582,0
6908,2582,0
6908,2582,0
6908,2582,0
6404,2582,0
6404,2582,0
6404,3078,0
6895,3078,0
6895,3580,0
7389,3580,0
6896,3580,0
6896,3580,0
7388,3580,0
