x	y	a	r
0	0	4	300
0	0	2	300
0	499	3	300
0	7	4	300
0	7	2	300
0	514	4	0
0	514	3	0
0	20	0	300
496	20	0	300
988	20	2	0
988	537	4	300
988	537	0	300
1485	537	3	300
1485	50	1	0
980	50	0	0
1476	50	2	0
1476	557	1	300
982	557	4	300
982	557	3	300
982	63	2	0
982	563	0	300
1474	563	1	300
975	563	4	300
975	563	0	300
1474	563	2	300
1474	1066	3	0
1474	581	0	300
1970	581	3	0
1970	80	0	0
2470	80	1	0
1976	80	0	0
2477	80	4	0
2477	80	4	0
2477	80	4	0
2477	80	1	0
1978	80	0	0
2480	80	0	0
2969	80	1	0
2469	80	0	0
2959	80	1	0
2454	80	1	0
1952	80	0	0
2454	80	2	0
2454	574	0	0
2949	574	2	0
2949	1076	4	0
2949	1076	4	0
2949	1076	3	0
2949	584	1	0
2454	584	3	0
2454	83	4	0
2454	83	2	0
2454	577	4	0
2454	577	0	0
2956	577	0	0
3455	577	4	0
3455	577	1	0
2954	577	2	0
2954	1079	2	0
2954	1573	4	300
2954	1573	0	300
3447	1573	4	300
3447	1573	3	300
3447	1079	3	0
3447	593	1	0
2953	593	1	0
2463	593	4	0
2463	593	1	0
1969	593	0	0
2477	593	2	0
2477	1089	4	300
2477	1089	3	300
2477	586	4	0
2477	586	2	0
2477	1093	0	300
2967	1093	2	0
2967	1586	4	300
2967	1586	0	300
3463	1586	0	300
3954	1586	2	0
3954	2094	1	300
3465	2094	0	0
3960	2094	4	300
3960	2094	2	300
3960	2587	2	0
3960	3068	0	0
4457	3068	2	0
4457	3567	4	0
4457	3567	0	0
4947	3567	0	0
5431	3567	0	0
5928	3567	0	300
6427	3567	2	0
6427	4065	0	300
6916	4065	3	0
6916	3573	0	0
7409	3573	4	0
7409	3573	2	0
7409	4066	3	0
7409	3563	0	0
7903	3563	2	0
7903	4064	4	0
7903	4064	3	0
7903	3563	4	0
7903	3563	3	0
7903	3080	3	0
7903	2579	4	0
7903	2579	3	0
7903	2082	3	0
7903	1582	3	0
7903	1083	3	0
7903	591	2	0
7903	1089	1	0
7402	1089	2	0
7402	1578	2	0
7402	2082	1	0
6921	2082	2	0
6921	2582	1	0
6421	2582	0	0
6918	2582	3	0
6918	2089	4	0
6918	2089	2	0
6918	2582	1	0
6415	2582	0	0
6908	2582	4	0
6908	2582	4	0
6908	2582	1	0
6404	2582	4	0
6404	2582	2	0
6404	3078	0	0
6895	3078	2	0
6895	3580	0	0
7389	3580	1	0
6896	3580	4	0
6896	3580	0	0
7388	3580	2	0
7388	4078	4	0
7388	4078	0	0
7882	4078	2	0
7882	4578	2	0
7882	5068	1	0
7391	5068	4	300
7391	5068	3	300
7391	4579	0	0
7880	4579	2	0
7880	5077	0	0
8378	5077	4	0
8378	5077	3	0
8378	4588	1	0
7875	4588	0	0
8385	4588	4	0
8385	4588	3	0
8385	4099	3	0
8385	3595	0	0
8869	3595	3	0
8869	3101	4	0
8869	3101	0	0
9369	3101	4	0
9369	3101	3	0
9369	2605	4	0
9369	2605	0	0
9862	2605	4	0
9862	2605	2	0
9862	3101	1	0
9360	3101	0	0
9848	3101	3	0
9848	2596	4	0
9848	2596	2	0
9848	3090	1	0
9348	3090	1	0
8847	3090	3	0
8847	2603	1	0
8348	2603	1	0
7850	2603	3	0
7850	2110	0	0
8355	2110	2	0
8355	2620	4	0
8355	2620	2	0
8355	3113	4	0
8355	3113	1	0
7865	3113	4	0
7865	3113	1	0
7366	3113	3	0
7366	2626	1	0
6875	2626	2	0
6875	3125	1	0
6370	3125	4	0
6370	3125	0	0
6868	3125	1	0
6375	3125	0	0
6872	3125	2	0
6872	3619	4	0
6872	3619	3	0
6872	3129	2	0
6872	3626	1	0
6364	3626	2	0
6364	4118	0	300
6861	4118	3	0
6861	3626	4	0
6861	3626	2	0
6861	4137	2	0
6861	4639	0	300
7361	4639	3	0
7361	4160	3	0
7361	3651	4	0
7361	3651	3	0
7361	3147	4	0
7361	3147	4	0
7361	3147	2	0
7361	3647	3	0
7361	3144	4	0
7361	3144	3	0
7361	2643	2	0
7361	3142	0	0
7868	3142	2	0
7868	3628	0	0
8370	3628	1	0
7865	3628	3	0
7865	3128	3	0
7865	2619	4	0
7865	2619	2	0
7865	3109	3	0
7865	2606	1	0
7380	2606	1	0
6879	2606	4	0
6879	2606	0	0
7368	2606	0	0
7868	2606	3	0
7868	2106	4	0
7868	2106	1	0
7392	2106	4	0
7392	2106	4	0
7392	2106	4	0
7392	2106	2	0
7392	2608	3	0
7392	2110	0	0
7899	2110	4	0
7899	2110	4	0
7899	2110	3	0
7899	1610	4	0
7899	1610	1	0
7407	1610	3	0
7407	1106	0	0
7910	1106	0	0
8408	1106	2	0
8408	1612	1	0
7901	1612	4	0
7901	1612	3	0
7901	1119	0	0
8399	1119	2	0
8399	1612	0	0
8900	1612	3	0
8900	1121	3	0
8900	624	4	0
8900	624	1	0
8407	624	4	0
8407	624	4	0
8407	624	2	0
8407	1120	2	0
8407	1631	2	0
8407	2123	3	0
8407	1622	3	0
8407	1122	2	0
8407	1618	2	0
8407	2120	0	0
8911	2120	3	0
8911	1618	0	0
9401	1618	0	0
9904	1618	2	0
9904	2100	2	0
9904	2580	4	0
9904	2580	2	0
9904	3078	2	0
9904	3577	1	0
9411	3577	1	0
8927	3577	1	0
8433	3577	3	0
