Q	a	r
q0	4	300
q0	2	300
q0	3	300
q0	4	300
q0	2	300
q1	4	0
q1	3	0
q0	0	300
q0	0	300
q2	2	0
q3	4	300
q3	0	300
q4	3	300
q2	1	0
q2	0	0
q2	2	0
q3	1	300
q3	4	300
q3	3	300
q2	2	0
q3	0	300
q3	1	300
q3	4	300
q3	0	300
q3	2	300
q5	3	0
q3	0	300
q4	3	0
q2	0	0
q8	1	0
q2	0	0
q8	4	0
q8	4	0
q8	4	0
q8	1	0
q2	0	0
q8	0	0
q8	1	0
q8	0	0
q8	1	0
q8	1	0
q2	0	0
q8	2	0
q8	0	0
q8	2	0
q8	4	0
q8	4	0
q8	3	0
q8	1	0
q8	3	0
q8	4	0
q8	2	0
q8	4	0
q8	0	0
q8	0	0
q8	4	0
q8	1	0
q8	2	0
q8	2	0
q12	4	300
q12	0	300
q12	4	300
q12	3	300
q8	3	0
q8	1	0
q8	1	0
q8	4	0
q8	1	0
q4	0	0
q8	2	0
q9	4	300
q9	3	300
q8	4	0
q8	2	0
q9	0	300
q10	2	0
q12	4	300
q12	0	300
q12	0	300
q13	2	0
q20	1	300
q16	0	0
q20	4	300
q20	2	300
q21	2	0
q27	0	0
q27	2	0
q29	4	0
q29	0	0
q29	0	0
q31	0	0
q31	0	300
q32	2	0
q34	0	300
q34	3	0
q32	0	0
q32	4	0
q32	2	0
q34	3	0
q32	0	0
q32	2	0
q34	4	0
q34	3	0
q32	4	0
q32	3	0
q32	3	0
q32	4	0
q32	3	0
q32	3	0
q13	3	0
q13	3	0
q13	2	0
q13	1	0
q13	2	0
q13	2	0
q32	1	0
q32	2	0
q32	1	0
q32	0	0
q32	3	0
q32	4	0
q32	2	0
q32	1	0
q32	0	0
q32	4	0
q32	4	0
q32	1	0
q32	4	0
q32	2	0
q32	0	0
q32	2	0
q32	0	0
q32	1	0
q32	4	0
q32	0	0
q32	2	0
q34	4	0
q34	0	0
q34	2	0
q34	2	0
q34	1	0
q34	4	300
q34	3	300
q34	0	0
q34	2	0
q34	0	0
q38	4	0
q38	3	0
q38	1	0
q34	0	0
q38	4	0
q38	3	0
q38	3	0
q38	0	0
q38	3	0
q38	4	0
q38	0	0
q38	4	0
q38	3	0
