@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data

0,0,300
0,497,300
500,497,300
500,2,300
1005,2,0
1005,496,0
1505,496,0
1021,496,0
1526,496,0
2019,496,0
1524,496,0
1024,496,0
513,496,0
513,9,0
1003,9,0
1003,514,300
1003,8,0
1003,8,0
1003,8,0
1003,493,0
1500,493,0
1500,978,300
1994,978,0
1994,479,0
2498,479,0
2498,968,0
2498,1461,300
2498,956,0
2498,1450,300
2498,1957,0
2498,1450,300
2002,1450,300
2002,1948,0
2002,2447,0
2511,2447,0
2511,1947,300
2511,1947,300
3021,1947,300
3021,1450,0
3021,956,0
3021,456,0
3021,456,0
3021,944,0
3021,439,0
3021,937,0
2530,937,0
2530,937,0
2530,937,0
2530,1437,0
2530,1932,300
2043,1932,0
2043,1932,0
2043,1932,0
2043,1428,300
1555,1428,300
1056,1428,0
1056,1428,0
1560,1428,300
1560,934,0
1560,934,0
1049,934,300
1049,934,300
1547,934,0
1547,435,0
1547,435,0
2039,435,0
2039,933,0
2039,436,0
2539,436,0
3017,436,0
2515,436,0
2515,436,0
2010,436,0
2010,932,0
2010,1433,300
2010,1932,0
1513,1932,0
2012,1932,0
2012,1932,0
2012,1932,0
2012,1434,300
1530,1434,300
1530,1434,300
1530,939,0
1530,441,0
1040,441,0
1522,441,0
1522,939,0
1522,1436,300
1522,942,0
2017,942,0
1524,942,0
1015,942,300
505,942,300
505,450,0
505,450,0
505,450,0
505,450,0
505,450,0
9,450,300
498,450,300
498,939,0
498,1431,0
1007,1431,0
1007,1941,0
515,1941,0
515,1455,0
1013,1455,0
1013,1961,0
1013,1467,0
506,1467,0
19,1467,0
19,1980,0
523,1980,0
1012,1980,0
1012,1980,0
1012,1483,0
1012,987,300
499,987,0
499,987,0
499,1490,0
499,1490,0
499,989,0
4,989,0
4,989,0
495,989,0
995,989,300
995,989,300
995,1482,0
995,1988,0
995,2474,0
995,2474,0
995,2474,0
995,1979,0
995,1979,0
1496,1979,0
1496,2472,0
1987,2472,0
2485,2472,0
2986,2472,0
