x	y	a	r
0	0	2	300
0	497	0	300
500	497	3	300
500	2	0	300
1005	2	2	0
1005	496	0	0
1505	496	1	0
1021	496	0	0
1526	496	0	0
2019	496	1	0
1524	496	1	0
1024	496	1	0
513	496	3	0
513	9	0	0
1003	9	2	0
1003	514	3	300
1003	8	4	0
1003	8	4	0
1003	8	2	0
1003	493	0	0
1500	493	2	0
1500	978	0	300
1994	978	3	0
1994	479	0	0
2498	479	2	0
2498	968	2	0
2498	1461	3	300
2498	956	2	0
2498	1450	2	300
2498	1957	3	0
2498	1450	1	300
2002	1450	2	300
2002	1948	2	0
2002	2447	0	0
2511	2447	3	0
2511	1947	4	300
2511	1947	0	300
3021	1947	3	300
3021	1450	3	0
3021	956	3	0
3021	456	4	0
3021	456	2	0
3021	944	3	0
3021	439	2	0
3021	937	1	0
2530	937	4	0
2530	937	4	0
2530	937	2	0
2530	1437	2	0
2530	1932	1	300
2043	1932	4	0
2043	1932	4	0
2043	1932	3	0
2043	1428	1	300
1555	1428	1	300
1056	1428	4	0
1056	1428	0	0
1560	1428	3	300
1560	934	4	0
1560	934	1	0
1049	934	4	300
1049	934	0	300
1547	934	3	0
1547	435	4	0
1547	435	0	0
2039	435	2	0
2039	933	3	0
2039	436	0	0
2539	436	0	0
3017	436	1	0
2515	436	4	0
2515	436	1	0
2010	436	2	0
2010	932	2	0
2010	1433	2	300
2010	1932	1	0
1513	1932	0	0
2012	1932	4	0
2012	1932	4	0
2012	1932	3	0
2012	1434	1	300
1530	1434	4	300
1530	1434	3	300
1530	939	3	0
1530	441	1	0
1040	441	0	0
1522	441	2	0
1522	939	2	0
1522	1436	3	300
1522	942	0	0
2017	942	1	0
1524	942	1	0
1015	942	1	300
505	942	3	300
505	450	4	0
505	450	4	0
505	450	4	0
505	450	4	0
505	450	1	0
9	450	0	300
498	450	2	300
498	939	2	0
498	1431	0	0
1007	1431	2	0
1007	1941	1	0
515	1941	3	0
515	1455	0	0
1013	1455	2	0
1013	1961	3	0
1013	1467	1	0
506	1467	1	0
19	1467	2	0
19	1980	0	0
523	1980	0	0
1012	1980	4	0
1012	1980	3	0
1012	1483	3	0
1012	987	1	300
499	987	4	0
499	987	2	0
499	1490	4	0
499	1490	3	0
499	989	1	0
4	989	4	0
4	989	0	0
495	989	0	0
995	989	4	300
995	989	2	300
995	1482	2	0
995	1988	2	0
995	2474	4	0
995	2474	4	0
995	2474	3	0
995	1979	4	0
995	1979	0	0
1496	1979	2	0
1496	2472	0	0
1987	2472	0	0
2485	2472	0	0
2986	2472	4	0
2986	2472	2	0
2986	2963	3	0
2986	2480	1	0
2501	2480	2	0
2501	2988	4	0
2501	2988	1	0
2006	2988	1	0
1513	2988	0	0
2022	2988	0	0
2521	2988	3	0
2521	2493	1	0
2014	2493	3	0
2014	1993	0	0
2513	1993	0	300
3006	1993	2	300
3006	2496	1	0
2507	2496	0	0
3001	2496	2	0
3001	2998	3	0
3001	2493	2	0
3001	2995	4	0
3001	2995	0	0
3494	2995	1	0
3010	2995	1	0
2515	2995	2	0
2515	3501	3	0
2515	3001	1	0
2011	3001	3	0
2011	2506	0	0
2507	2506	2	0
2507	2994	4	0
2507	2994	0	0
3010	2994	4	0
3010	2994	1	0
2508	2994	2	0
2508	3484	2	0
2508	3975	1	0
2019	3975	3	0
2019	3476	1	0
1517	3476	4	0
1517	3476	2	0
1517	3977	0	0
2016	3977	3	0
2016	3484	4	0
2016	3484	1	0
1520	3484	2	0
1520	3976	1	0
1034	3976	3	0
1034	3469	3	0
1034	2973	2	0
1034	3465	0	0
1524	3465	0	0
2034	3465	4	0
2034	3465	4	0
2034	3465	3	0
2034	2966	1	0
1534	2966	2	0
1534	3453	1	0
1028	3453	4	0
1028	3453	2	0
1028	3943	4	0
1028	3943	3	0
1028	3443	4	0
1028	3443	4	0
1028	3443	3	0
1028	2951	3	0
1028	2453	2	0
1028	2962	4	0
1028	2962	4	0
1028	2962	2	0
1028	3451	0	0
1524	3451	3	0
1524	2965	4	0
1524	2965	3	0
1524	2475	2	0
1524	2972	0	0
2016	2972	4	0
2016	2972	3	0
2016	2480	0	0
2507	2480	4	0
2507	2480	4	0
2507	2480	4	0
2507	2480	4	0
2507	2480	2	0
2507	2971	2	0
2507	3468	3	0
2507	2968	0	0
3001	2968	1	0
2508	2968	0	0
3007	2968	1	0
2509	2968	2	0
2509	3465	4	0
2509	3465	3	0
2509	2968	1	0
2003	2968	4	0
2003	2968	1	0
1503	2968	0	0
1995	2968	4	0
1995	2968	0	0
2497	2968	1	0
2004	2968	0	0
2502	2968	3	0
2502	2466	4	0
2502	2466	3	0
2502	1982	1	300
2002	1982	2	0
2002	2486	2	0
2002	2981	0	0
2503	2981	1	0
2004	2981	0	0
2505	2981	3	0
2505	2471	0	0
2997	2471	3	0
2997	1970	3	300
2997	1468	0	0
3500	1468	1	0
2998	1468	0	0
3497	1468	3	0
3497	979	0	0
4006	979	1	0
3501	979	3	0
3501	479	2	0
3501	971	1	0
2994	971	3	0
2994	466	4	0
2994	466	0	0
3484	466	4	0
3484	466	2	0
3484	956	3	0
3484	463	1	0
2982	463	0	0
3473	463	0	0
3977	463	4	0
3977	463	4	0
3977	463	4	0
3977	463	2	0
3977	968	1	0
3472	968	2	0
3472	1454	3	0
3472	961	2	0
3472	1450	1	0
2972	1450	0	0
3472	1450	4	0
3472	1450	0	0
3960	1450	1	0
3473	1450	1	0
2977	1450	2	0
2977	1932	3	300
2977	1435	4	0
2977	1435	0	0
3490	1435	3	0
3490	950	0	0
3982	950	4	0
3982	950	2	0
3982	1449	4	0
3982	1449	0	0
4474	1449	2	0
4474	1934	3	0
4474	1432	0	0
4976	1432	1	0
4467	1432	4	0
4467	1432	2	0
4467	1931	2	0
4467	2428	3	0
4467	1927	2	0
4467	2424	0	0
4969	2424	4	0
4969	2424	0	0
5468	2424	2	0
5468	2922	1	0
4966	2922	2	0
4966	3415	3	300
4966	2924	1	0
4469	2924	4	300
4469	2924	0	300
4971	2924	0	0
5466	2924	0	0
5949	2924	4	0
5949	2924	4	0
5949	2924	4	0
5949	2924	2	0
5949	3423	3	0
5949	2941	4	0
5949	2941	3	0
5949	2440	3	0
5949	1947	2	0
5949	2436	4	0
5949	2436	4	0
5949	2436	1	0
5450	2436	4	0
5450	2436	4	0
5450	2436	4	0
5450	2436	0	0
5950	2436	1	0
5455	2436	4	0
5455	2436	2	0
5455	2942	3	0
5455	2449	1	0
4946	2449	3	0
4946	1948	4	0
4946	1948	4	0
4946	1948	3	0
4946	1455	1	0
4451	1455	0	0
4953	1455	1	0
4460	1455	4	0
4460	1455	3	0
4460	955	2	0
4460	1450	4	0
4460	1450	2	0
4460	1941	3	0
4460	1444	2	0
4460	1930	2	0
4460	2427	1	0
3958	2427	0	300
4460	2427	2	0
4460	2919	3	300
4460	2423	1	0
3966	2423	1	300
3475	2423	3	0
3475	1928	3	300
3475	1435	1	0
2979	1435	0	0
3462	1435	4	0
3462	1435	1	0
2956	1435	2	0
2956	1936	3	300
2956	1433	4	0
2956	1433	4	0
2956	1433	4	0
2956	1433	0	0
3455	1433	3	0
3455	926	4	0
3455	926	2	0
3455	1426	3	0
3455	930	0	0
3964	930	3	0
3964	428	1	0
3467	428	2	0
3467	931	0	0
3963	931	4	0
3963	931	0	0
4462	931	3	0
4462	423	2	0
4462	914	0	0
4956	914	0	0
5448	914	0	0
5956	914	3	0
5956	412	0	0
6453	412	0	0
6943	412	1	0
6448	412	2	0
6448	917	0	0
6945	917	3	0
6945	427	4	0
6945	427	2	0
6945	914	4	0
6945	914	0	0
7440	914	4	0
7440	914	1	0
6951	914	0	0
7444	914	1	0
6944	914	0	0
7430	914	3	0
7430	403	0	0
7918	403	2	0
7918	921	2	0
7918	1420	2	0
7918	1921	1	0
7421	1921	1	0
6916	1921	1	0
6427	1921	2	0
6427	2412	4	0
6427	2412	3	0
6427	1914	1	0
5934	1914	2	0
5934	2409	0	0
6425	2409	0	0
6927	2409	2	0
6927	2914	4	0
6927	2914	2	0
6927	3418	3	0
6927	2917	1	0
6429	2917	1	0
5939	2917	0	0
6436	2917	4	0
6436	2917	0	0
6941	2917	0	0
7440	2917	4	0
7440	2917	3	0
7440	2414	2	0
7440	2914	2	0
7440	3415	1	0
6951	3415	1	0
6456	3415	2	0
6456	3911	1	0
5959	3911	0	300
6450	3911	4	0
6450	3911	2	0
6450	4411	2	300
6450	4919	3	0
6450	4418	0	300
6946	4418	1	0
6446	4418	3	300
6446	3917	0	0
6950	3917	2	0
6950	4423	1	0
6459	4423	0	300
6948	4423	0	0
7433	4423	4	0
7433	4423	2	0
7433	4916	1	0
6952	4916	3	300
6952	4427	1	0
6464	4427	0	300
6963	4427	1	0
6483	4427	4	300
6483	4427	1	300
5988	4427	4	0
5988	4427	2	0
5988	4918	3	0
5988	4432	1	0
5491	4432	4	0
5491	4432	0	0
5993	4432	3	0
5993	3935	2	300
5993	4433	1	0
5487	4433	2	0
5487	4932	4	0
5487	4932	3	0
5487	4436	1	0
4984	4436	2	0
4984	4921	0	0
5473	4921	3	0
5473	4413	0	0
5969	4413	3	0
5969	3911	2	300
5969	4413	0	0
6467	4413	3	300
6467	3908	3	0
6467	3412	2	0
6467	3899	0	0
6966	3899	4	0
6966	3899	2	0
6966	4392	0	0
7466	4392	4	0
7466	4392	4	0
7466	4392	0	0
7963	4392	4	0
7963	4392	3	0
7963	3898	3	0
7963	3397	3	0
7963	2891	0	0
8464	2891	2	0
8464	3380	3	0
8464	2881	4	0
8464	2881	1	0
7974	2881	0	0
8475	2881	0	0
8967	2881	4	0
8967	2881	2	0
8967	3382	4	0
8967	3382	0	0
9465	3382	2	0
9465	3885	4	0
9465	3885	2	0
9465	4370	4	0
9465	4370	4	0
9465	4370	2	0
9465	4861	2	0
9465	5359	0	0
9962	5359	1	0
9471	5359	0	0
9958	5359	4	0
9958	5359	3	0
9958	4867	1	0
9468	4867	2	0
9468	5361	1	0
8967	5361	3	0
8967	4869	2	0
8967	5362	4	0
8967	5362	4	0
8967	5362	3	0
8967	4852	2	0
8967	5349	4	0
8967	5349	3	0
8967	4852	0	0
9454	4852	0	0
9962	4852	1	0
9474	4852	4	0
9474	4852	2	0
9474	5361	3	0
9474	4860	2	0
9474	5353	2	0
9474	5863	3	0
9474	5360	3	0
9474	4865	4	0
9474	4865	3	0
9474	4373	2	0
9474	4874	0	0
9963	4874	3	0
9963	4365	4	0
9963	4365	1	0
9468	4365	1	0
8975	4365	4	0
8975	4365	2	0
8975	4848	3	0
8975	4351	3	0
8975	3851	0	0
9465	3851	2	0
9465	4348	3	0
9465	3871	4	0
9465	3871	1	0
8955	3871	3	0
8955	3366	4	0
8955	3366	3	0
8955	2875	2	0
8955	3370	3	0
8955	2877	0	0
9456	2877	1	0
8950	2877	2	0
8950	3374	3	0
8950	2875	0	0
9457	2875	4	0
9457	2875	0	0
9954	2875	1	0
9470	2875	1	0
8972	2875	0	0
9463	2875	4	0
9463	2875	0	0
9948	2875	2	0
9948	3380	4	0
9948	3380	1	0
9446	3380	2	0
9446	3889	3	0
9446	3395	3	0
9446	2890	0	0
9947	2890	3	0
