x	y	a	r
9000	4500	4	4
9000	4500	3	4
9000	4004	1	4
8500	4004	3	0
8500	3494	3	2
8500	2997	0	2
9004	2997	3	2
9004	2500	4	2
9004	2500	0	2
9499	2500	0	2
9985	2500	3	2
9985	2000	2	2
9985	2493	2	2
9985	2987	1	2
9489	2987	1	2
8997	2987	2	2
8997	3485	4	2
8997	3485	0	2
9498	3485	1	2
9004	3485	0	2
9496	3485	0	2
9992	3485	1	2
9515	3485	3	2
9515	2983	2	2
9515	3481	2	2
9515	3959	4	2
9515	3959	4	2
9515	3959	4	2
9515	3959	3	2
9515	3475	4	2
9515	3475	3	2
9515	2988	1	2
9022	2988	4	2
9022	2988	3	2
9022	2486	1	2
8524	2486	0	2
9021	2486	0	2
9524	2486	3	2
9524	1997	1	2
9037	1997	4	2
9037	1997	3	2
9037	1499	0	2
9529	1499	1	2
9031	1499	3	2
9031	1002	3	2
9031	495	2	2
9031	1002	3	2
9031	500	0	2
9533	500	1	2
9043	500	2	2
9043	1004	2	2
9043	1498	4	2
9043	1498	0	2
9542	1498	2	2
9542	1992	4	2
9542	1992	3	2
9542	1508	2	2
9542	2002	4	2
9542	2002	2	2
9542	2490	4	2
9542	2490	3	2
9542	1991	3	2
9542	1493	4	2
9542	1493	4	2
9542	1493	3	2
9542	1014	1	2
9060	1014	2	2
9060	1507	4	2
9060	1507	3	2
9060	1008	3	2
9060	528	3	2
9060	33	0	2
9548	33	1	2
9061	33	1	2
8565	33	0	2
9066	33	4	2
9066	33	1	2
8570	33	4	2
8570	33	4	2
8570	33	2	2
8570	521	2	2
8570	1018	0	2
9062	1018	2	2
9062	1517	4	2
9062	1517	3	2
9062	1021	1	2
8562	1021	1	2
8061	1021	4	2
8061	1021	0	2
8545	1021	2	2
8545	1516	4	2
8545	1516	3	2
8545	1014	4	2
8545	1014	3	2
8545	517	4	2
8545	517	0	2
9034	517	4	2
9034	517	0	2
9531	517	4	2
9531	517	3	2
9531	14	4	2
9531	14	1	2
9037	14	0	2
9532	14	4	2
9532	14	2	2
9532	511	1	2
9029	511	0	2
9523	511	4	2
9523	511	2	2
9523	1017	4	2
9523	1017	1	2
9016	1017	3	2
9016	518	3	2
9016	12	2	2
9016	512	0	2
9511	512	1	2
9006	512	4	2
9006	512	1	2
8503	512	3	2
8503	14	2	2
8503	505	4	2
8503	505	2	2
8503	1001	2	2
8503	1498	3	2
8503	1007	1	2
8005	1007	1	2
7504	1007	4	2
7504	1007	3	2
7504	518	1	2
7013	518	4	2
7013	518	3	2
7013	20	2	2
7013	517	0	2
7514	517	0	2
8014	517	3	2
8014	28	1	2
7520	28	0	2
8020	28	1	2
7531	28	0	2
8033	28	0	2
8533	28	4	2
8533	28	2	2
8533	524	4	2
8533	524	0	2
9026	524	2	2
9026	1025	2	2
9026	1522	0	2
9527	1522	3	2
9527	1027	1	2
9020	1027	3	2
9020	528	4	2
9020	528	3	2
9020	35	2	2
9020	532	3	2
9020	40	4	2
9020	40	1	2
8525	40	0	2
9011	40	1	2
8514	40	4	2
8514	40	2	2
8514	534	2	2
8514	1051	4	2
8514	1051	4	2
8514	1051	3	2
8514	553	3	2
8514	46	2	2
8514	546	3	2
8514	43	0	2
9011	43	4	2
9011	43	4	2
9011	43	2	2
9011	543	0	2
9513	543	2	2
9513	1039	2	2
9513	1526	2	2
9513	2016	3	2
9513	1521	2	2
9513	2018	2	2
9513	2515	4	2
9513	2515	2	2
9513	3014	2	2
9513	3514	3	2
9513	3022	4	2
9513	3022	4	2
9513	3022	4	2
9513	3022	0	2
9995	3022	2	2
9995	3519	3	2
9995	3033	3	2
9995	2551	4	2
9995	2551	2	2
9995	3048	2	2
9995	3547	4	2
9995	3547	1	2
9498	3547	4	2
9498	3547	0	2
9985	3547	4	2
