x	y	a	r
2306	7501	2	0
2306	8003	0	0
2799	8003	2	0
2799	8509	3	0
2799	7989	4	0
2799	7989	2	0
2799	8491	3	0
2799	7982	4	0
2799	7982	4	0
2799	7982	4	0
2799	7982	3	0
2799	7482	4	0
2799	7482	2	0
2799	7980	1	0
2300	7980	2	0
2300	8479	1	0
1799	8479	2	0
1799	8981	3	0
1799	8486	3	0
1799	7980	0	0
2305	7980	0	0
2802	7980	1	0
2303	7980	0	0
2798	7980	3	0
2798	7481	3	0
2798	6977	0	0
3305	6977	2	0
3305	7465	2	0
3305	7965	2	0
3305	8474	3	0
3305	7973	2	0
3305	8482	0	0
3792	8482	1	0
3289	8482	3	0
3289	7978	1	0
2805	7978	3	0
2805	7476	0	0
3299	7476	1	0
2808	7476	3	0
2808	6984	4	0
2808	6984	4	0
2808	6984	0	0
3311	6984	4	0
3311	6984	0	0
3797	6984	0	0
4300	6984	0	0
4803	6984	4	0
4803	6984	0	0
5293	6984	1	0
4799	6984	4	0
4799	6984	4	0
4799	6984	2	0
4799	7486	4	0
4799	7486	4	0
4799	7486	1	0
4305	7486	0	0
4806	7486	4	0
4806	7486	2	0
4806	7978	4	0
4806	7978	3	0
4806	7482	4	0
4806	7482	3	0
4806	6977	1	0
4315	6977	0	0
4814	6977	0	0
5310	6977	4	0
5310	6977	4	0
5310	6977	1	0
4811	6977	1	0
4314	6977	1	0
3805	6977	3	0
3805	6468	4	0
3805	6468	2	0
3805	6956	1	0
3320	6956	4	0
3320	6956	3	0
3320	6454	1	0
2816	6454	3	0
2816	5950	2	0
2816	6450	3	0
2816	5946	1	0
2332	5946	3	0
2332	5457	0	0
2824	5457	2	0
2824	5959	3	0
2824	5458	0	0
3328	5458	3	0
3328	4969	3	0
3328	4471	2	300
3328	4967	2	0
3328	5476	2	0
3328	5977	4	0
3328	5977	1	0
2809	5977	4	0
2809	5977	4	0
2809	5977	2	0
2809	6486	1	0
2306	6486	0	0
2814	6486	3	0
2814	5995	0	0
3313	5995	0	0
3816	5995	4	0
3816	5995	2	0
3816	6499	0	0
4319	6499	3	0
4319	5996	1	0
3822	5996	1	0
3315	5996	1	0
2815	5996	3	0
2815	5495	4	0
2815	5495	0	0
3317	5495	2	0
3317	5996	0	0
3820	5996	0	0
4300	5996	0	0
4801	5996	0	0
