x	y	a	r
0	0	0	0
510	0	4	0
510	0	1	0
15	0	4	0
15	0	0	0
516	0	0	0
1007	0	4	0
1007	0	2	0
1007	500	0	0
1484	500	4	0
1484	500	0	0
1982	500	3	0
1982	16	0	0
2479	16	2	0
2479	515	0	0
2996	515	3	0
2996	4	1	0
2495	4	4	0
2495	4	4	0
2495	4	1	0
1999	4	1	0
1508	4	1	0
1003	4	0	0
1483	4	2	0
1483	500	1	0
981	500	4	0
981	500	0	0
1470	500	1	0
972	500	2	0
972	985	4	0
972	985	2	0
972	1493	3	0
972	989	4	0
972	989	0	0
1478	989	2	0
1478	1485	2	0
1478	1976	4	0
1478	1976	2	0
1478	2459	2	0
1478	2953	4	0
1478	2953	0	0
1975	2953	2	0
1975	3456	0	0
2483	3456	3	0
2483	2957	2	0
2483	3455	2	0
2483	3957	4	0
2483	3957	3	0
2483	3465	1	0
1977	3465	4	0
1977	3465	2	0
1977	3963	3	0
1977	3470	4	0
1977	3470	2	0
1977	3963	3	0
1977	3478	3	0
1977	2979	4	0
1977	2979	2	0
1977	3472	4	0
1977	3472	1	0
1477	3472	0	0
1971	3472	0	0
2466	3472	2	0
2466	3966	2	0
2466	4455	3	0
2466	3960	3	0
2466	3471	2	0
2466	3966	0	0
2974	3966	1	0
2486	3966	0	0
2992	3966	0	0
3487	3966	1	0
2997	3966	2	0
2997	4457	2	0
2997	4958	4	0
2997	4958	1	0
2504	4958	2	0
2504	5465	3	0
2504	4985	3	0
2504	4499	3	0
2504	3997	3	0
2504	3506	3	0
2504	3018	1	0
2001	3018	1	0
1509	3018	0	0
2006	3018	4	0
2006	3018	2	0
2006	3509	0	0
2524	3509	3	0
2524	3014	3	0
2524	2516	2	0
2524	3019	2	0
2524	3516	1	0
2018	3516	3	0
2018	3021	3	0
2018	2536	0	0
2506	2536	1	0
2019	2536	1	0
1510	2536	0	0
2012	2536	4	0
2012	2536	1	0
1511	2536	1	0
1003	2536	2	0
1003	3025	2	0
1003	3503	2	0
1003	4013	2	0
1003	4510	4	0
1003	4510	2	0
1003	5002	4	0
1003	5002	2	0
1003	5493	4	0
1003	5493	4	0
1003	5493	3	0
1003	4991	2	0
1003	5498	0	0
1498	5498	1	0
1007	5498	1	0
526	5498	0	0
1027	5498	1	0
540	5498	2	0
540	6002	4	0
540	6002	1	0
41	6002	3	0
41	5500	3	0
41	5004	0	0
529	5004	3	0
529	4508	0	0
1028	4508	2	0
1028	5010	4	0
1028	5010	2	0
1028	5521	4	0
1028	5521	4	0
1028	5521	0	0
1536	5521	1	0
1025	5521	0	0
1510	5521	1	0
1012	5521	3	0
1012	5007	1	0
515	5007	1	0
23	5007	4	0
23	5007	2	0
23	5503	3	0
23	5012	3	0
23	4505	0	0
516	4505	0	0
1016	4505	2	0
1016	5000	2	0
1016	5505	1	0
510	5505	3	0
510	5006	3	0
510	4509	3	0
510	4026	4	0
510	4026	0	0
1010	4026	0	0
1519	4026	1	0
1018	4026	0	0
1515	4026	2	0
1515	4511	4	0
1515	4511	1	0
1020	4511	3	0
1020	4012	3	0
1020	3514	2	0
1020	4004	0	0
1521	4004	2	0
1521	4498	2	0
1521	4986	2	0
1521	5489	3	0
1521	4995	2	0
1521	5494	1	0
1023	5494	0	0
1507	5494	1	0
1008	5494	0	0
1503	5494	1	0
1010	5494	1	0
507	5494	0	0
996	5494	0	0
1499	5494	1	0
1005	5494	2	0
1005	5982	3	0
1005	5478	3	0
1005	4991	3	0
1005	4482	4	0
1005	4482	2	0
1005	4976	0	0
1502	4976	2	0
1502	5464	1	0
1007	5464	0	0
1505	5464	2	0
1505	5958	4	0
1505	5958	4	0
1505	5958	2	0
1505	6479	4	0
1505	6479	3	0
1505	5996	3	0
1505	5498	3	0
1505	5013	0	0
1995	5013	1	0
1496	5013	4	0
1496	5013	2	0
1496	5506	4	0
1496	5506	0	0
1989	5506	2	0
1989	6007	4	0
1989	6007	1	0
1501	6007	1	0
1003	6007	3	0
1003	5512	3	0
1003	5021	1	0
505	5021	1	0
12	5021	4	0
12	5021	0	0
512	5021	1	0
10	5021	2	0
10	5531	4	0
10	5531	0	0
507	5531	2	0
507	6031	0	0
999	6031	0	0
1504	6031	0	0
2005	6031	2	-300
2005	6542	3	0
2005	6053	1	-300
1506	6053	3	0
1506	5555	2	0
1506	6049	0	0
2001	6049	4	-300
2001	6049	0	-300
2498	6049	0	-300
3003	6049	1	0
2518	6049	1	0
2027	6049	0	-300
2529	6049	4	0
2529	6049	2	0
2529	6543	4	0
2529	6543	3	0
2529	6040	3	0
2529	5522	3	0
2529	5019	4	0
2529	5019	3	0
2529	4513	3	0
2529	4022	1	0
2030	4022	3	0
2030	3515	0	0
2536	3515	3	0
2536	3023	2	0
2536	3515	1	0
2038	3515	2	0
2038	4001	1	0
1531	4001	3	0
1531	3507	0	0
2029	3507	3	0
2029	3005	1	0
1538	3005	1	0
1038	3005	1	0
537	3005	4	0
537	3005	3	0
537	2507	0	0
1031	2507	0	0
1543	2507	4	0
1543	2507	1	0
1051	2507	0	0
1545	2507	2	0
1545	3008	3	0
1545	2510	3	0
1545	2005	4	0
1545	2005	4	0
1545	2005	0	0
2047	2005	2	0
2047	2510	1	0
1545	2510	0	0
2043	2510	1	0
1541	2510	4	0
1541	2510	0	0
2027	2510	3	0
2027	2022	4	0
2027	2022	4	0
2027	2022	1	0
1530	2022	2	0
1530	2535	4	0
1530	2535	2	0
1530	3035	0	0
2030	3035	0	0
2532	3035	3	0
2532	2549	0	0
3031	2549	2	0
3031	3055	0	0
3528	3055	3	0
3528	2570	2	0
3528	3070	1	0
3037	3070	4	0
3037	3070	4	0
3037	3070	1	0
2545	3070	0	0
3036	3070	3	0
3036	2573	0	0
3537	2573	0	0
4029	2573	0	0
4525	2573	4	0
4525	2573	3	0
4525	2087	0	0
5011	2087	2	0
5011	2573	4	0
5011	2573	4	0
5011	2573	3	0
5011	2086	1	0
4510	2086	0	0
5012	2086	0	0
5511	2086	0	0
6001	2086	1	0
5506	2086	4	0
5506	2086	1	0
5024	2086	1	0
4524	2086	1	0
4027	2086	0	0
4528	2086	3	0
4528	1596	3	0
4528	1091	2	0
4528	1586	2	0
4528	2092	0	0
5036	2092	2	0
5036	2589	2	0
5036	3078	1	0
4539	3078	1	0
4036	3078	0	0
4537	3078	4	0
4537	3078	1	0
4044	3078	1	0
3552	3078	4	0
3552	3078	0	0
4058	3078	0	0
4560	3078	3	0
4560	2579	4	0
4560	2579	1	0
4066	2579	3	0
4066	2072	4	0
4066	2072	4	0
4066	2072	1	0
3580	2072	3	0
3580	1576	4	0
3580	1576	0	0
4077	1576	3	0
4077	1074	3	0
4077	572	2	0
4077	1076	3	0
4077	563	2	0
4077	1069	0	0
4576	1069	4	0
4576	1069	2	0
4576	1564	3	0
4576	1070	3	0
4576	565	2	0
4576	1057	3	0
4576	552	0	0
5079	552	3	0
5079	51	4	0
5079	51	1	0
4584	51	4	0
4584	51	4	0
4584	51	0	0
5086	51	0	0
5589	51	0	0
6081	51	2	0
6081	541	4	0
6081	541	0	0
6575	541	0	0
7076	541	1	0
6576	541	3	0
6576	34	0	0
7068	34	2	0
7068	519	3	0
7068	19	1	0
6576	19	0	0
7087	19	4	0
7087	19	1	0
6586	19	1	0
6096	19	2	0
6096	510	0	0
6604	510	4	0
6604	510	2	0
6604	1006	4	0
6604	1006	0	0
7085	1006	3	0
7085	505	4	0
7085	505	3	0
7085	12	4	0
7085	12	2	0
7085	495	0	0
7589	495	0	0
8093	495	2	0
8093	994	4	0
8093	994	0	0
8589	994	2	0
8589	1506	0	0
9093	1506	0	0
9588	1506	2	0
9588	2003	2	0
9588	2497	4	0
9588	2497	4	0
9588	2497	1	0
9091	2497	1	0
8581	2497	3	0
8581	1986	1	0
8085	1986	2	0
8085	2491	1	0
7591	2491	1	0
7087	2491	3	0
7087	1979	3	0
7087	1488	1	0
6611	1488	3	0
6611	981	3	0
6611	483	2	0
6611	981	1	0
6116	981	3	0
6116	482	1	0
5623	482	2	0
5623	979	0	0
6117	979	1	0
5611	979	1	0
