x	y	a	r
0	0	0	0
489	0	4	0
489	0	0	0
993	0	4	0
993	0	4	0
993	0	4	0
993	0	1	0
500	0	0	0
983	0	4	0
983	0	2	0
983	496	1	0
481	496	4	0
481	496	4	0
481	496	0	0
995	496	2	0
995	988	0	0
1502	988	3	0
1502	488	0	0
1996	488	2	0
1996	986	0	0
2502	986	1	0
1999	986	2	0
1999	1486	1	0
1494	1486	2	0
1494	1984	4	0
1494	1984	4	0
1494	1984	2	0
1494	2483	2	0
1494	2982	3	0
1494	2494	0	0
1999	2494	3	0
1999	2004	3	0
1999	1509	4	0
1999	1509	3	0
1999	1012	1	0
1499	1012	3	0
1499	510	0	0
1993	510	0	0
2498	510	2	0
2498	1013	3	0
2498	516	1	0
2010	516	2	0
2010	1018	0	0
2506	1018	4	0
2506	1018	1	0
2004	1018	4	0
2004	1018	1	0
1508	1018	4	0
1508	1018	1	0
1003	1018	3	0
1003	513	4	0
1003	513	0	0
1503	513	3	0
1503	7	2	0
1503	504	4	0
1503	504	0	0
2005	504	0	0
2495	504	1	0
1993	504	0	0
2492	504	4	0
2492	504	3	0
2492	14	1	0
1987	14	1	0
1500	14	4	0
1500	14	4	0
1500	14	4	0
1500	14	2	0
1500	506	0	0
2001	506	2	0
2001	1003	3	0
2001	501	2	0
2001	1008	0	0
2493	1008	4	0
2493	1008	2	0
2493	1507	1	0
2000	1507	4	0
2000	1507	3	0
2000	1016	2	0
2000	1506	4	0
2000	1506	4	0
2000	1506	4	0
2000	1506	0	0
2504	1506	1	0
2013	1506	4	0
2013	1506	3	0
2013	1008	2	0
2013	1505	0	0
2505	1505	3	0
2505	1000	2	0
2505	1482	1	0
2018	1482	3	0
2018	980	1	0
1522	980	2	0
1522	1481	2	0
1522	1979	2	0
1522	2477	2	0
1522	2968	4	0
1522	2968	3	0
1522	2462	0	0
2018	2462	4	0
2018	2462	2	0
2018	2946	1	0
1523	2946	3	0
1523	2443	3	0
1523	1958	2	0
1523	2456	2	0
1523	2950	0	0
2026	2950	0	0
2507	2950	3	0
2507	2451	3	0
2507	1950	3	0
2507	1437	2	0
2507	1943	2	0
2507	2442	0	0
3011	2442	0	0
3519	2442	4	0
3519	2442	3	0
3519	1942	4	0
3519	1942	1	0
3026	1942	1	0
2522	1942	1	0
2025	1942	4	0
2025	1942	1	0
1527	1942	0	0
2020	1942	1	0
1514	1942	4	0
1514	1942	3	0
1514	1450	1	0
1028	1450	4	0
1028	1450	1	0
536	1450	2	0
536	1948	4	0
536	1948	3	0
536	1450	1	0
31	1450	2	0
31	1953	0	0
538	1953	3	0
538	1451	1	0
46	1451	3	0
46	952	0	0
544	952	2	0
544	1446	0	0
1033	1446	0	0
1537	1446	4	0
1537	1446	2	0
1537	1946	4	0
1537	1946	3	0
1537	1444	0	0
2042	1444	2	0
2042	1934	0	0
2531	1934	2	0
2531	2441	0	0
3025	2441	4	0
3025	2441	1	0
2521	2441	0	0
3017	2441	4	0
3017	2441	1	0
2518	2441	2	0
2518	2935	3	0
2518	2430	0	0
3007	2430	2	0
3007	2922	1	0
2512	2922	3	0
2512	2433	3	0
2512	1935	1	0
2017	1935	1	0
1518	1935	1	0
1026	1935	1	0
525	1935	0	0
1014	1935	0	0
1508	1935	1	0
1007	1935	3	0
1007	1431	2	0
1007	1919	1	0
508	1919	4	0
508	1919	4	0
508	1919	4	0
508	1919	0	0
1012	1919	0	0
1518	1919	2	0
1518	2412	2	0
1518	2908	3	0
1518	2414	2	0
1518	2895	2	0
1518	3397	3	0
1518	2903	3	0
1518	2414	2	0
1518	2904	3	0
1518	2409	0	0
1999	2409	2	0
1999	2910	0	0
2497	2910	2	0
2497	3409	1	0
2007	3409	3	0
2007	2918	2	0
2007	3424	0	0
2497	3424	4	0
2497	3424	4	0
2497	3424	1	0
2002	3424	0	0
2501	3424	4	0
2501	3424	0	0
3007	3424	3	0
3007	2919	2	0
3007	3413	1	0
2502	3413	1	0
2021	3413	0	0
2524	3413	3	0
2524	2910	2	0
2524	3414	0	0
3014	3414	0	0
3510	3414	3	-300
3510	2923	4	0
3510	2923	1	0
3009	2923	4	0
3009	2923	0	0
3505	2923	2	0
3505	3418	1	-300
3005	3418	0	0
3504	3418	0	-300
3996	3418	0	-300
4490	3418	4	0
4490	3418	0	0
4994	3418	4	0
4994	3418	4	0
4994	3418	4	0
4994	3418	3	0
4994	2923	0	0
5503	2923	3	0
5503	2415	4	0
5503	2415	3	0
5503	1926	4	0
5503	1926	3	0
5503	1439	3	0
5503	954	4	0
5503	954	4	0
5503	954	0	0
5984	954	1	0
5483	954	1	0
4978	954	1	0
4486	954	3	0
4486	450	4	0
4486	450	0	0
4984	450	1	0
4496	450	0	0
4989	450	1	0
4503	450	1	0
4011	450	2	0
4011	943	3	0
4011	440	0	0
4510	440	1	0
4017	440	1	0
3524	440	1	0
3022	440	4	0
3022	440	1	0
2514	440	1	0
2016	440	2	0
2016	937	2	0
