x	y	a	r
0	0	0	300
488	0	4	300
488	0	2	300
488	484	0	300
987	484	4	0
987	484	4	0
987	484	2	0
987	990	1	300
491	990	4	0
491	990	3	0
491	499	3	300
491	13	4	300
491	13	2	300
491	509	3	0
491	12	0	300
992	12	1	0
497	12	4	300
497	12	4	300
497	12	2	300
497	518	4	0
497	518	3	0
497	21	1	300
1	21	4	300
1	21	0	300
490	21	0	300
991	21	0	0
1496	21	4	0
1496	21	1	0
994	21	4	0
994	21	2	0
994	511	1	300
486	511	3	0
486	7	2	300
486	497	4	300
486	497	2	300
486	999	2	0
486	1498	2	0
486	1996	2	0
486	2488	0	0
978	2488	3	0
978	1993	2	0
978	2484	1	0
480	2484	4	0
480	2484	3	0
480	1990	0	0
978	1990	3	0
978	1487	1	0
482	1487	4	0
482	1487	4	0
482	1487	2	0
482	1987	2	0
482	2492	3	0
482	1995	2	0
482	2497	4	0
482	2497	3	0
482	2004	2	0
482	2498	4	0
482	2498	4	0
482	2498	4	0
482	2498	0	0
984	2498	1	0
493	2498	4	0
493	2498	0	0
990	2498	3	0
990	1997	4	0
990	1997	1	0
485	1997	3	0
485	1503	3	0
485	1012	2	0
485	1515	0	0
987	1515	4	0
987	1515	2	0
987	2006	1	0
499	2006	2	0
499	2499	0	0
998	2499	2	0
998	2993	2	0
998	3493	3	0
998	2985	4	0
998	2985	4	0
998	2985	2	0
998	3487	2	0
998	3979	0	0
1495	3979	2	0
1495	4472	4	0
1495	4472	3	0
1495	3970	1	0
1011	3970	1	0
512	3970	4	0
512	3970	0	0
1008	3970	1	0
498	3970	4	0
498	3970	4	0
498	3970	0	0
1004	3970	4	0
1004	3970	2	0
1004	4449	1	0
512	4449	0	0
1008	4449	3	0
1008	3967	4	0
1008	3967	3	0
1008	3471	1	0
503	3471	2	0
503	3972	4	0
503	3972	4	0
503	3972	2	0
503	4464	2	0
503	4952	3	0
503	4452	2	0
503	4943	4	0
503	4943	4	0
503	4943	2	0
503	5426	0	0
1005	5426	0	0
1508	5426	0	0
2002	5426	4	0
2002	5426	2	0
2002	5935	0	0
2499	5935	1	0
1991	5935	1	0
1499	5935	3	0
1499	5451	1	0
1008	5451	3	0
1008	4945	4	0
1008	4945	0	0
1502	4945	4	0
1502	4945	0	0
2003	4945	4	0
2003	4945	4	0
2003	4945	2	0
2003	5438	0	0
2494	5438	2	0
2494	5941	1	0
1992	5941	0	0
2496	5941	2	0
2496	6446	2	0
2496	6936	0	0
3002	6936	2	0
3002	7445	2	0
3002	7949	2	0
3002	8445	0	0
3494	8445	4	0
3494	8445	2	0
3494	8934	2	0
3494	9429	3	0
3494	8921	3	0
3494	8436	4	0
3494	8436	0	0
3997	8436	3	0
3997	7941	1	0
3496	7941	0	0
3995	7941	2	0
3995	8432	0	0
4494	8432	2	0
4494	8922	2	0
4494	9422	4	0
4494	9422	0	0
4987	9422	1	0
4494	9422	1	0
3986	9422	1	0
3492	9422	0	0
3984	9422	3	0
3984	8928	3	0
3984	8438	1	0
3486	8438	3	0
3486	7944	3	0
3486	7440	4	0
3486	7440	0	0
3980	7440	4	0
3980	7440	3	0
3980	6950	3	0
3980	6446	3	0
3980	5954	2	0
3980	6455	0	0
4472	6455	1	0
3969	6455	0	0
4468	6455	1	0
3958	6455	4	0
3958	6455	1	0
3466	6455	0	0
3965	6455	3	0
3965	5971	4	0
3965	5971	2	0
3965	6470	2	0
