Nivel	Ac	Ap	Et	Ev	a	r
85.68	5.39	30.97	29.71	0	13	-50
85.8	0.7	42.11	48.08	0	25	-50
85.7	10.14	45.95	47.79	0	19	-50
85.85	6.6	44.91	47.69	0	1	-50
85.92	3.39	49.09	49.14	0	25	-50
85.98	6.85	33.6	47.95	0	1	-50
85.84	7.53	44.08	42.84	0	19	-50
86	7.74	16.31	25.04	0	1	-50
85.98	0	47.63	48.61	0	25	-50
85.96	7.41	47.57	47.29	0	1	-50
86.1	7.78	32.38	48.28	0	7	-50
85.95	7.33	39.53	47.32	0	19	-50
85.94	5.19	45.6	47.41	0	25	-50
86	23.65	23.51	43.79	0	1	-50
86.06	12.74	13.84	25.38	0	1	-50
86.08	11.78	34.95	47.71	0	25	-50
86.06	2.85	35.5	47.41	0	19	-50
85.89	4.25	42.71	47.82	0	25	-50
85.87	7.71	42.28	49.26	0	7	-50
85.88	0	35.29	48.16	0	1	-50
85.64	11.23	36.83	49	0	25	-50
85.62	2.67	20.44	25.13	0	1	-50
85.58	21.94	49.63	48.12	0	25	-50
86.01	35.2	35.12	47.52	0	1	-50
86.43	39.66	46.85	64.17	0	25	100
86.84	67.26	84.6	79.61	0	25	100
88.17	12.98	69.63	66.33	0	1	100
88.47	5.33	53.49	64.74	0	1	100
88.36	2.21	37.67	63.68	0	1	100
87.92	5.93	44	67.2	0	25	100
87.6	0.4	45.67	73.03	0	25	100
87.1	0.96	42.38	75.74	0	7	100
86.5	13.2	61.35	74.39	0	19	100
86.5	10.96	56.27	65	0	1	100
86.54	0.87	58.57	50.67	0	19	100
86.7	1.68	17.83	37.3	0	1	100
86.37	5.79	43.97	38.25	0	25	100
86.58	14.41	49.44	66.98	0	25	100
86.52	5.85	55.06	67.35	0	25	100
86.4	5.82	56.71	67.92	0	25	100
86.3	2.3	63.24	67.04	0	19	100
86.27	15.11	52.95	51.18	0	1	100
86.58	30.81	11.72	37.57	0	1	100
86.67	18.06	39.64	66.89	0	25	100
86.5	8.15	51.37	67.56	0	25	100
86.35	0	52.33	71.18	0	25	100
86	6.87	58.42	71.66	0	25	-50
85.88	3.58	59.34	69.85	0	19	-50
85.75	3.93	61.62	69.2	0	19	-50
85.68	9.07	58.87	38.53	0	1	-50
86.22	1.51	67.21	70.71	0	25	100
86.18	0	67.23	69.3	0	19	-50
86.14	6.3	70.08	69.71	0	25	-50
86.26	1.18	70.65	69.47	0	19	100
86.3	1.95	74.67	73.16	0	25	100
86.36	4.57	52.11	65.17	0	1	100
86.2	3.05	31.9	37.47	0	1	100
86.15	40.31	58.11	73.87	0	25	-50
86.6	8.22	50.37	74.28	0	7	100
86.31	26.39	71.47	82.05	0	25	100
86.6	0	72.66	77.96	0	19	100
86.5	10.05	68.57	77.92	0	1	100
86.51	0	65.7	66.09	0	1	100
86.5	2.11	48.82	37.77	0	1	100
86.74	2.53	58.28	76.38	0	25	100
86.45	2.73	68.66	78.77	0	25	100
86.31	0	72.76	79.63	0	25	100
86.18	8.55	73.15	81.49	0	25	-50
86.18	0	86.63	83	0	25	-50
86.24	0	79.11	65.74	0	1	100
86.48	5.67	40.34	39.14	0	1	100
86.6	0	60.11	77.1	0	25	100
86.28	3.62	77	82.54	0	25	100
86.24	0	81.97	78.62	0	19	100
86.3	7.11	84.15	80.33	0	25	100
86.5	1.22	74.18	80.61	0	7	100
86.4	0	68.24	69.61	0	1	100
86.37	3.03	52.67	39.18	0	1	100
86.67	8.65	61.2	67.93	0	25	100
86.7	0	44.38	37.59	0	1	100
86.82	0	54.8	74.56	0	25	100
86.45	0	57.79	73.33	0	19	100
86.16	22.93	60.86	67.86	0	19	-50
86.45	13.99	60.36	67.14	0	1	100
86.58	0.64	25.85	39.87	0	1	100
86.33	0	59.34	79.26	0	25	100
85.96	6.41	74.49	79.09	0	19	-50
85.99	0	68.85	82.75	0	7	-50
85.73	0	76.08	80.23	0	19	-50
