@relation dTree

@attribute x {S0, S1, S2, S3}
@attribute y {S0, S1, S2}
@attribute r {-1, 0, 1, -1000}

@data

S0,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S0,S0,0
S1,S0,0
S1,S1,-1000
S1,S2,0
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S1,-1
S3,S2,1
S2,S2,0
S3,S2,1
S2,S2,0
S1,S2,0
S0,S2,0
S1,S2,0
S2,S2,0
S3,S2,1
S3,S2,1
S2,S2,0
S3,S2,1
S2,S2,0
S2,S2,0
S2,S1,0
S2,S1,0
S2,S0,0
S2,S0,0
S2,S0,0
S3,S0,0
S3,S0,0
S2,S0,0
S1,S0,0
S2,S0,0
S2,S0,0
S1,S0,0
S0,S0,0
S1,S0,0
S1,S1,-1000
S0,S1,0
S0,S0,0
S0,S1,0
S0,S1,0
S1,S1,-1000
S1,S1,-1000
S1,S0,0
S2,S0,0
S3,S0,0
S2,S0,0
S3,S0,0
S3,S0,0
S3,S1,-1
S2,S1,0
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S2,1
S3,S1,-1
S3,S0,0
S2,S0,0
S1,S0,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S2,S1,0
S2,S0,0
S2,S1,0
S2,S0,0
S2,S1,0
S2,S0,0
S3,S0,0
S2,S0,0
S3,S0,0
S2,S0,0
S2,S0,0
S2,S1,0
S2,S0,0
S2,S1,0
S2,S2,0
S2,S1,0
S2,S0,0
S3,S0,0
S3,S1,-1
S2,S1,0
S2,S2,0
S2,S1,0
S2,S2,0
S2,S2,0
S3,S2,1
S2,S2,0
S2,S2,0
S2,S1,0
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S0,0
S3,S0,0
S3,S1,-1
S3,S2,1
S3,S2,1
S3,S1,-1
S2,S1,0
S2,S2,0
S3,S2,1
S3,S1,-1
S2,S1,0
S2,S1,0
S2,S2,0
S2,S1,0
S1,S1,-1000
S1,S2,0
S2,S2,0
S1,S2,0
S2,S2,0
S2,S2,0
S3,S2,1
S2,S2,0
S2,S1,0
S2,S2,0
S2,S1,0
S2,S1,0
S2,S2,0
S2,S2,0
S2,S1,0
S3,S1,-1
S3,S2,1
S2,S2,0
S3,S2,1
S3,S2,1
S3,S2,1
S2,S2,0
S1,S2,0
S1,S2,0
S1,S1,-1000
S1,S1,-1000
S1,S1,-1000
S1,S2,0
S1,S1,-1000
S1,S0,0
S1,S1,-1000
S1,S1,-1000
S1,S1,-1000
S1,S1,-1000
S1,S0,0
S2,S0,0
S3,S0,0
S3,S1,-1
S2,S1,0
S2,S1,0
S2,S1,0
S2,S1,0
S2,S2,0
S2,S1,0
S2,S0,0
S3,S0,0
S3,S0,0
S3,S1,-1
S3,S0,0
S2,S0,0
S2,S0,0
S2,S1,0
S2,S2,0
S1,S2,0
S1,S2,0
S2,S2,0
S1,S2,0
S1,S2,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S1,S1,-1000
S1,S0,0
S0,S0,0
S1,S0,0
S1,S1,-1000
S1,S0,0
S1,S1,-1000
S1,S0,0
S2,S0,0
S2,S1,0
S1,S1,-1000
S1,S2,0
S2,S2,0
S1,S2,0
S1,S2,0
S2,S2,0
S2,S2,0
S1,S2,0
S2,S2,0
S2,S2,0
S2,S1,0
S2,S1,0
S3,S1,-1
S3,S1,-1
S3,S0,0
S2,S0,0
S2,S0,0
S2,S0,0
S2,S1,0
S3,S1,-1
S3,S0,0
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S0,0
S3,S0,0
S2,S0,0
S2,S0,0
S1,S0,0
S1,S1,-1000
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S0,0
S3,S0,0
S2,S0,0
S1,S0,0
S0,S0,0
S0,S0,0
S0,S1,0
S0,S2,0
S0,S2,0
S0,S1,0
S0,S2,0
S0,S1,0
S1,S1,-1000
S0,S1,0
S0,S1,0
S0,S2,0
S0,S1,0
S0,S1,0
S1,S1,-1000
S2,S1,0
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S2,1
S2,S2,0
S1,S2,0
S0,S2,0
S0,S1,0
S0,S2,0
S0,S1,0
S1,S1,-1000
S1,S1,-1000
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S1,S2,0
S1,S2,0
S2,S2,0
S2,S2,0
S1,S2,0
S1,S2,0
S1,S2,0
S2,S2,0
S3,S2,1
S2,S2,0
S3,S2,1
S2,S2,0
S2,S2,0
S3,S2,1
S2,S2,0
S3,S2,1
S2,S2,0
S1,S2,0
S0,S2,0
S0,S1,0
S1,S1,-1000
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S1,-1
S2,S1,0
S2,S0,0
S2,S1,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S1,S0,0
S1,S0,0
S2,S0,0
S2,S0,0
S2,S1,0
S2,S2,0
S1,S2,0
S2,S2,0
S2,S2,0
S3,S2,1
S3,S1,-1
S3,S1,-1
S3,S2,1
S3,S1,-1
S3,S2,1
S2,S2,0
S2,S2,0
S2,S2,0
S2,S2,0
S2,S2,0
S1,S2,0
S1,S1,-1000
S0,S1,0
S0,S2,0
S0,S1,0
S0,S0,0
S1,S0,0
S2,S0,0
S2,S0,0
S1,S0,0
S2,S0,0
S2,S1,0
S1,S1,-1000
S1,S2,0
S1,S2,0
S1,S2,0
S2,S2,0
S2,S1,0
S2,S0,0
S2,S1,0
S2,S2,0
S3,S2,1
S3,S1,-1
S3,S0,0
S2,S0,0
S2,S0,0
S2,S1,0
S3,S1,-1
S2,S1,0
S2,S1,0
S2,S2,0
S2,S2,0
S2,S2,0
S3,S2,1
S2,S2,0
S3,S2,1
S3,S2,1
S2,S2,0
S2,S2,0
S2,S2,0
S2,S2,0
S3,S2,1
S3,S1,-1
S3,S0,0
S3,S1,-1
S2,S1,0
S2,S1,0
S3,S1,-1
S2,S1,0
S1,S1,-1000
S2,S1,0
S2,S2,0
S3,S2,1
S2,S2,0
S2,S1,0
S2,S0,0
S1,S0,0
S0,S0,0
S1,S0,0
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S0,0
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S2,1
S3,S1,-1
S3,S2,1
S3,S2,1
S3,S2,1
S3,S1,-1
S3,S0,0
S3,S0,0
S3,S1,-1
S3,S2,1
S3,S2,1
S2,S2,0
S2,S1,0
S2,S2,0
S1,S2,0
S1,S1,-1000
S1,S2,0
S1,S1,-1000
S2,S1,0
S3,S1,-1
S3,S0,0
S3,S1,-1
S3,S0,0
S2,S0,0
S1,S0,0
S0,S0,0
S0,S1,0
S0,S1,0
S1,S1,-1000
S1,S0,0
S1,S0,0
S1,S1,-1000
S1,S0,0
S2,S0,0
S2,S1,0
S2,S0,0
S2,S1,0
S2,S2,0
S2,S1,0
S2,S2,0
S2,S1,0
S2,S2,0
S3,S2,1
S3,S2,1
S2,S2,0
S3,S2,1
S3,S1,-1
S3,S2,1
S3,S2,1
S3,S2,1
S2,S2,0
S1,S2,0
S1,S2,0
S1,S2,0
S2,S2,0
S2,S1,0
S3,S1,-1
S3,S1,-1
S3,S0,0
S3,S1,-1
S3,S0,0
S3,S1,-1
S3,S1,-1
S3,S1,-1
S3,S2,1
S2,S2,0
S2,S2,0
S1,S2,0
S1,S2,0
S0,S2,0
S1,S2,0
S0,S2,0
S0,S1,0
S0,S2,0
S0,S1,0
S0,S2,0
S0,S2,0
S0,S1,0
S1,S1,-1000
S1,S2,0
S0,S2,0
S1,S2,0
S0,S2,0
S0,S2,0
S0,S2,0
S0,S2,0
S0,S2,0
S1,S2,0
S2,S2,0
S1,S2,0
S1,S2,0
S0,S2,0
S0,S2,0
S1,S2,0
S0,S2,0
S0,S1,0
S0,S0,0
S0,S0,0
S1,S0,0
S0,S0,0
S0,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S1,S1,-1000
S1,S1,-1000
S0,S1,0
S0,S0,0
S1,S0,0
S0,S0,0
S0,S1,0
S0,S0,0
S0,S1,0
S0,S0,0
S0,S0,0
S0,S0,0
S0,S1,0
S1,S1,-1000
S1,S0,0
S0,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S2,S0,0
S2,S1,0
S3,S1,-1
S2,S1,0
S1,S1,-1000
S2,S1,0
S2,S0,0
S3,S0,0
S3,S1,-1
S3,S0,0
S2,S0,0
S2,S1,0
S2,S2,0
S2,S1,0
S1,S1,-1000
S1,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S1,S0,0
S0,S0,0
S0,S0,0
S0,S0,0
S1,S0,0
S0,S0,0
S0,S0,0
S0,S0,0
S0,S1,0
S1,S1,-1000
S2,S1,0
S2,S1,0
S1,S1,-1000
S0,S1,0
S1,S1,-1000
S1,S0,0
S0,S0,0
S0,S0,0
S0,S0,0
S1,S0,0
S2,S0,0
S1,S0,0
S0,S0,0
S0,S1,0
S0,S1,0
S0,S0,0
S0,S1,0
