x	y	a	r
500	500	0	0
1506	500	4	0
1506	500	4	0
1506	500	1	0
529	500	0	0
1537	500	2	0
1537	1494	2	-1000
1537	2471	3	0
1537	1483	0	-1000
2507	1483	0	0
3517	1483	4	-1
3517	1483	2	-1
3517	2458	1	1
2497	2458	0	0
3511	2458	1	1
2504	2458	1	0
1513	2458	1	0
516	2458	0	0
1507	2458	0	0
2511	2458	0	0
3510	2458	4	1
3510	2458	1	1
2521	2458	0	0
3522	2458	1	1
2545	2458	4	0
2545	2458	3	0
2545	1450	4	0
2545	1450	3	0
2545	461	4	0
2545	461	4	0
2545	461	0	0
3530	461	4	0
3530	461	1	0
2534	461	1	0
1553	461	0	0
2543	461	4	0
2543	461	1	0
1548	461	1	0
575	461	0	0
1550	461	2	0
1550	1440	1	-1000
533	1440	3	0
533	452	2	0
533	1451	4	0
533	1451	0	0
1540	1451	4	-1000
1540	1451	3	-1000
1540	443	0	0
2500	443	0	0
3502	443	1	0
2482	443	0	0
3473	443	4	0
3473	443	2	0
3473	1449	1	-1
2466	1449	1	0
1475	1449	0	-1000
2491	1449	0	0
3480	1449	2	-1
3480	2437	3	1
3480	1432	3	-1
3480	433	1	0
2502	433	1	0
1505	433	2	0
1505	1405	1	-1000
501	1405	0	0
1499	1405	0	-1000
2476	1405	3	0
2476	404	2	0
2476	1370	3	0
2476	380	2	0
2476	1350	3	0
2476	363	0	0
3461	363	1	0
2470	363	0	0
3464	363	1	0
2444	363	4	0
2444	363	2	0
2444	1376	3	0
2444	364	2	0
2444	1353	2	0
2444	2345	3	0
2444	1362	3	0
2444	383	0	0
3428	383	2	0
3428	1373	1	-1
2420	1373	2	0
2420	2362	3	0
2420	1373	2	0
2420	2398	4	0
2420	2398	0	0
3399	2398	1	1
2411	2398	4	0
2411	2398	3	0
2411	1416	0	0
3398	1416	4	-1
3398	1416	4	-1
3398	1416	4	-1
3398	1416	3	-1
3398	429	4	0
3398	429	2	0
3398	1406	2	-1
3398	2403	4	1
3398	2403	3	1
3398	1417	1	-1
2395	1417	2	0
2395	2386	0	0
3400	2386	3	1
3400	1387	1	-1
2419	1387	4	0
2419	1387	2	0
2419	2375	3	0
2419	1401	1	0
1435	1401	2	-1000
1435	2399	0	0
2420	2399	1	0
1458	2399	0	0
2447	2399	4	0
2447	2399	0	0
3454	2399	1	1
2456	2399	3	0
2456	1427	2	0
2456	2416	3	0
2456	1433	4	0
2456	1433	2	0
2456	2429	4	0
2456	2429	3	0
2456	1416	0	0
3432	1416	2	-1
3432	2409	1	1
2422	2409	0	0
3406	2409	4	1
3406	2409	4	1
3406	2409	1	1
2396	2409	1	0
1391	2409	4	0
1391	2409	3	0
1391	1402	4	-1000
1391	1402	4	-1000
1391	1402	2	-1000
1391	2386	3	0
1391	1380	3	-1000
1391	382	2	0
1391	1383	4	-1000
1391	1383	4	-1000
1391	1383	4	-1000
1391	1383	3	-1000
1391	399	0	0
2376	399	0	0
3346	399	2	0
3346	1391	1	-1
2342	1391	4	0
2342	1391	4	0
2342	1391	4	0
2342	1391	2	0
2342	2364	3	0
2342	1363	3	0
2342	369	0	0
3318	369	4	0
3318	369	2	0
3318	1374	3	-1
3318	364	1	0
2319	364	4	0
2319	364	2	0
2319	1344	2	0
2319	2355	1	0
1313	2355	4	0
1313	2355	0	0
2297	2355	1	0
1312	2355	4	0
1312	2355	3	0
1312	1366	1	-1000
307	1366	0	0
1318	1366	4	-1000
1318	1366	3	-1000
1318	377	1	0
326	377	0	0
1301	377	2	0
1301	1371	3	-1000
1301	367	2	0
1301	1344	3	-1000
1301	335	0	0
2291	335	2	0
2291	1335	1	0
1283	1335	2	-1000
1283	2338	0	0
2294	2338	1	0
1295	2338	4	0
1295	2338	0	0
2285	2338	4	0
2285	2338	1	0
1283	2338	0	0
2290	2338	4	0
2290	2338	3	0
2290	1333	4	0
2290	1333	0	0
3284	1333	4	-1
3284	1333	3	-1
3284	326	1	0
2279	326	4	0
2279	326	4	0
2279	326	2	0
2279	1307	0	0
3261	1307	3	-1
3261	312	2	0
3261	1294	4	-1
3261	1294	4	-1
3261	1294	3	-1
3261	292	4	0
3261	292	1	0
2262	292	4	0
2262	292	1	0
1268	292	2	0
1268	1287	4	-1000
1268	1287	0	-1000
2260	1287	0	0
3255	1287	3	-1
3255	288	4	0
3255	288	1	0
2267	288	1	0
1268	288	1	0
264	288	4	0
264	288	2	0
264	1298	2	0
264	2289	4	0
264	2289	3	0
264	1307	2	0
264	2307	3	0
264	1281	0	0
1257	1281	1	-1000
270	1281	4	0
270	1281	2	0
270	2286	3	0
270	1305	4	0
270	1305	0	0
1264	1305	0	-1000
2221	1305	1	0
1218	1305	0	-1000
2228	1305	0	0
3220	1305	2	-1
3220	2281	1	1
2228	2281	1	0
1223	2281	1	0
230	2281	3	0
230	1292	2	0
230	2295	3	0
230	1311	0	0
1235	1311	4	-1000
1235	1311	4	-1000
1235	1311	1	-1000
253	1311	0	0
1271	1311	2	-1000
1271	2291	4	0
1271	2291	0	0
2277	2291	4	0
2277	2291	1	0
1286	2291	4	0
1286	2291	4	0
1286	2291	0	0
2294	2291	0	0
3302	2291	1	1
2304	2291	0	0
3303	2291	1	1
2306	2291	4	0
2306	2291	0	0
3299	2291	1	1
2304	2291	0	0
3313	2291	1	1
2334	2291	1	0
1324	2291	1	0
324	2291	3	0
324	1309	0	0
1337	1309	4	-1000
1337	1309	0	-1000
2353	1309	0	0
3316	1309	4	-1
3316	1309	1	-1
2299	1309	3	0
2299	329	2	0
2299	1323	1	0
1299	1323	1	-1000
319	1323	0	0
1313	1323	1	-1000
309	1323	0	0
1303	1323	1	-1000
307	1323	0	0
1296	1323	3	-1000
1296	331	4	0
1296	331	0	0
2296	331	4	0
2296	331	2	0
2296	1331	2	0
2296	2322	1	0
1303	2322	0	0
2285	2322	4	0
2285	2322	0	0
3289	2322	3	1
3289	1317	4	-1
3289	1317	2	-1
3289	2283	3	1
3289	1292	2	-1
3289	2273	1	1
2284	2273	4	0
2284	2273	4	0
2284	2273	4	0
2284	2273	4	0
2284	2273	1	0
1273	2273	3	0
1273	1266	1	-1000
292	1266	2	0
292	2254	3	0
292	1268	3	0
292	268	0	0
1285	268	0	0
2278	268	4	0
2278	268	1	0
1285	268	0	0
2294	268	2	0
2294	1244	1	0
1289	1244	2	-1000
1289	2241	4	0
1289	2241	4	0
1289	2241	0	0
2293	2241	3	0
2293	1242	3	0
2293	239	2	0
2293	1210	2	0
2293	2205	0	0
3275	2205	3	1
