x	y	a	r
S0	S0	0	0
S1	S0	4	0
S1	S0	4	0
S1	S0	1	0
S0	S0	0	0
S1	S0	2	0
S1	S1	2	-1000
S1	S2	3	0
S1	S1	0	-1000
S2	S1	0	0
S3	S1	4	-1
S3	S1	2	-1
S3	S2	1	1
S2	S2	0	0
S3	S2	1	1
S2	S2	1	0
S1	S2	1	0
S0	S2	0	0
S1	S2	0	0
S2	S2	0	0
S3	S2	4	1
S3	S2	1	1
S2	S2	0	0
S3	S2	1	1
S2	S2	4	0
S2	S2	3	0
S2	S1	4	0
S2	S1	3	0
S2	S0	4	0
S2	S0	4	0
S2	S0	0	0
S3	S0	4	0
S3	S0	1	0
S2	S0	1	0
S1	S0	0	0
S2	S0	4	0
S2	S0	1	0
S1	S0	1	0
S0	S0	0	0
S1	S0	2	0
S1	S1	1	-1000
S0	S1	3	0
S0	S0	2	0
S0	S1	4	0
S0	S1	0	0
S1	S1	4	-1000
S1	S1	3	-1000
S1	S0	0	0
S2	S0	0	0
S3	S0	1	0
S2	S0	0	0
S3	S0	4	0
S3	S0	2	0
S3	S1	1	-1
S2	S1	1	0
S1	S1	0	-1000
S2	S1	0	0
S3	S1	2	-1
S3	S2	3	1
S3	S1	3	-1
S3	S0	1	0
S2	S0	1	0
S1	S0	2	0
S1	S1	1	-1000
S0	S1	0	0
S1	S1	0	-1000
S2	S1	3	0
S2	S0	2	0
S2	S1	3	0
S2	S0	2	0
S2	S1	3	0
S2	S0	0	0
S3	S0	1	0
S2	S0	0	0
S3	S0	1	0
S2	S0	4	0
S2	S0	2	0
S2	S1	3	0
S2	S0	2	0
S2	S1	2	0
S2	S2	3	0
S2	S1	3	0
S2	S0	0	0
S3	S0	2	0
S3	S1	1	-1
S2	S1	2	0
S2	S2	3	0
S2	S1	2	0
S2	S2	4	0
S2	S2	0	0
S3	S2	1	1
S2	S2	4	0
S2	S2	3	0
S2	S1	0	0
S3	S1	4	-1
S3	S1	4	-1
S3	S1	4	-1
S3	S1	3	-1
S3	S0	4	0
S3	S0	2	0
S3	S1	2	-1
S3	S2	4	1
S3	S2	3	1
S3	S1	1	-1
S2	S1	2	0
S2	S2	0	0
S3	S2	3	1
S3	S1	1	-1
S2	S1	4	0
S2	S1	2	0
S2	S2	3	0
S2	S1	1	0
S1	S1	2	-1000
S1	S2	0	0
S2	S2	1	0
S1	S2	0	0
S2	S2	4	0
S2	S2	0	0
S3	S2	1	1
S2	S2	3	0
S2	S1	2	0
S2	S2	3	0
S2	S1	4	0
S2	S1	2	0
S2	S2	4	0
S2	S2	3	0
S2	S1	0	0
S3	S1	2	-1
S3	S2	1	1
S2	S2	0	0
S3	S2	4	1
S3	S2	4	1
S3	S2	1	1
S2	S2	1	0
S1	S2	4	0
S1	S2	3	0
S1	S1	4	-1000
S1	S1	4	-1000
S1	S1	2	-1000
S1	S2	3	0
S1	S1	3	-1000
S1	S0	2	0
S1	S1	4	-1000
S1	S1	4	-1000
S1	S1	4	-1000
S1	S1	3	-1000
S1	S0	0	0
S2	S0	0	0
S3	S0	2	0
S3	S1	1	-1
S2	S1	4	0
S2	S1	4	0
S2	S1	4	0
S2	S1	2	0
S2	S2	3	0
S2	S1	3	0
S2	S0	0	0
S3	S0	4	0
S3	S0	2	0
S3	S1	3	-1
S3	S0	1	0
S2	S0	4	0
S2	S0	2	0
S2	S1	2	0
S2	S2	1	0
S1	S2	4	0
S1	S2	0	0
S2	S2	1	0
S1	S2	4	0
S1	S2	3	0
S1	S1	1	-1000
S0	S1	0	0
S1	S1	4	-1000
S1	S1	3	-1000
S1	S0	1	0
S0	S0	0	0
S1	S0	2	0
S1	S1	3	-1000
S1	S0	2	0
S1	S1	3	-1000
S1	S0	0	0
S2	S0	2	0
S2	S1	1	0
S1	S1	2	-1000
S1	S2	0	0
S2	S2	1	0
S1	S2	4	0
S1	S2	0	0
S2	S2	4	0
S2	S2	1	0
S1	S2	0	0
S2	S2	4	0
S2	S2	3	0
S2	S1	4	0
S2	S1	0	0
S3	S1	4	-1
S3	S1	3	-1
S3	S0	1	0
S2	S0	4	0
S2	S0	4	0
S2	S0	2	0
S2	S1	0	0
S3	S1	3	-1
S3	S0	2	0
S3	S1	4	-1
S3	S1	4	-1
S3	S1	3	-1
S3	S0	4	0
S3	S0	1	0
S2	S0	4	0
S2	S0	1	0
S1	S0	2	0
S1	S1	4	-1000
S1	S1	0	-1000
S2	S1	0	0
S3	S1	3	-1
S3	S0	4	0
S3	S0	1	0
S2	S0	1	0
S1	S0	1	0
S0	S0	4	0
S0	S0	2	0
S0	S1	2	0
S0	S2	4	0
S0	S2	3	0
S0	S1	2	0
S0	S2	3	0
S0	S1	0	0
S1	S1	1	-1000
S0	S1	4	0
S0	S1	2	0
S0	S2	3	0
S0	S1	4	0
S0	S1	0	0
S1	S1	0	-1000
S2	S1	1	0
S1	S1	0	-1000
S2	S1	0	0
S3	S1	2	-1
S3	S2	1	1
S2	S2	1	0
S1	S2	1	0
S0	S2	3	0
S0	S1	2	0
S0	S2	3	0
S0	S1	0	0
S1	S1	4	-1000
S1	S1	4	-1000
S1	S1	1	-1000
S0	S1	0	0
S1	S1	2	-1000
S1	S2	4	0
S1	S2	0	0
S2	S2	4	0
S2	S2	1	0
S1	S2	4	0
S1	S2	4	0
S1	S2	0	0
S2	S2	0	0
S3	S2	1	1
S2	S2	0	0
S3	S2	1	1
S2	S2	4	0
S2	S2	0	0
S3	S2	1	1
S2	S2	0	0
S3	S2	1	1
S2	S2	1	0
S1	S2	1	0
S0	S2	3	0
S0	S1	0	0
S1	S1	4	-1000
S1	S1	0	-1000
S2	S1	0	0
S3	S1	4	-1
S3	S1	1	-1
S2	S1	3	0
S2	S0	2	0
S2	S1	1	0
S1	S1	1	-1000
S0	S1	0	0
S1	S1	1	-1000
S0	S1	0	0
S1	S1	1	-1000
S0	S1	0	0
S1	S1	3	-1000
S1	S0	4	0
S1	S0	0	0
S2	S0	4	0
S2	S0	2	0
S2	S1	2	0
S2	S2	1	0
S1	S2	0	0
S2	S2	4	0
S2	S2	0	0
S3	S2	3	1
S3	S1	4	-1
S3	S1	2	-1
S3	S2	3	1
S3	S1	2	-1
S3	S2	1	1
S2	S2	4	0
S2	S2	4	0
S2	S2	4	0
S2	S2	4	0
S2	S2	1	0
S1	S2	3	0
S1	S1	1	-1000
S0	S1	2	0
S0	S2	3	0
S0	S1	3	0
S0	S0	0	0
S1	S0	0	0
S2	S0	4	0
S2	S0	1	0
S1	S0	0	0
S2	S0	2	0
S2	S1	1	0
S1	S1	2	-1000
S1	S2	4	0
S1	S2	4	0
S1	S2	0	0
S2	S2	3	0
S2	S1	3	0
S2	S0	2	0
S2	S1	2	0
S2	S2	0	0
S3	S2	3	1
S3	S1	3	-1
S3	S0	1	0
S2	S0	4	0
S2	S0	2	0
S2	S1	0	0
S3	S1	1	-1
S2	S1	4	0
S2	S1	2	0
S2	S2	4	0
S2	S2	4	0
S2	S2	0	0
S3	S2	1	1
S2	S2	0	0
S3	S2	4	1
S3	S2	1	1
S2	S2	4	0
S2	S2	4	0
S2	S2	4	0
S2	S2	0	0
S3	S2	3	1
S3	S1	3	-1
S3	S0	2	0
S3	S1	1	-1
S2	S1	4	0
S2	S1	0	0
S3	S1	1	-1
S2	S1	1	0
S1	S1	0	-1000
S2	S1	2	0
S2	S2	0	0
S3	S2	1	1
S2	S2	3	0
S2	S1	3	0
S2	S0	1	0
S1	S0	1	0
S0	S0	0	0
S1	S0	2	0
S1	S1	0	-1000
S2	S1	0	0
S3	S1	3	-1
S3	S0	2	0
S3	S1	4	-1
S3	S1	4	-1
S3	S1	4	-1
S3	S1	4	-1
S3	S1	2	-1
S3	S2	3	1
S3	S1	2	-1
S3	S2	4	1
S3	S2	4	1
S3	S2	3	1
S3	S1	3	-1
S3	S0	4	0
S3	S0	2	0
S3	S1	2	-1
S3	S2	4	1
S3	S2	1	1
S2	S2	3	0
S2	S1	2	0
S2	S2	1	0
S1	S2	3	0
S1	S1	2	-1000
S1	S2	3	0
S1	S1	0	-1000
S2	S1	0	0
S3	S1	3	-1
S3	S0	2	0
S3	S1	3	-1
S3	S0	1	0
S2	S0	1	0
S1	S0	1	0
S0	S0	2	0
S0	S1	4	0
S0	S1	0	0
S1	S1	3	-1000
S1	S0	4	0
S1	S0	2	0
S1	S1	3	-1000
S1	S0	0	0
S2	S0	2	0
S2	S1	3	0
S2	S0	2	0
S2	S1	2	0
S2	S2	3	0
S2	S1	2	0
S2	S2	3	0
S2	S1	2	0
S2	S2	0	0
S3	S2	4	1
S3	S2	1	1
S2	S2	0	0
S3	S2	3	1
S3	S1	2	-1
S3	S2	4	1
S3	S2	4	1
