x	y	a	r
1000	1000	0	0
2996	1000	2	500
2996	2953	1	0
1009	2953	0	0
3007	2953	4	0
3007	2953	0	0
4991	2953	2	0
4991	4924	3	300
4991	2917	1	0
2982	2917	0	0
4995	2917	3	0
4995	913	1	300
2993	913	2	500
2993	2888	0	0
4997	2888	0	0
6990	2888	2	0
6990	4890	2	-300
6990	6880	3	0
6990	4892	3	-300
6990	2890	1	0
5006	2890	1	0
3006	2890	1	0
1018	2890	0	0
2996	2890	2	0
2996	4858	1	0
1003	4858	3	0
1003	2882	3	0
1003	880	0	0
2991	880	1	500
990	880	0	0
2988	880	0	500
4948	880	0	300
6917	880	4	0
6917	880	4	0
6917	880	2	0
6917	2890	0	0
8907	2890	2	0
8907	4893	4	0
8907	4893	4	0
8907	4893	1	0
6907	4893	1	-300
4910	4893	2	300
4910	6914	4	-300
4910	6914	0	-300
6914	6914	0	0
8918	6914	4	0
8918	6914	1	0
6930	6914	4	0
6930	6914	3	0
6930	4912	4	-300
6930	4912	0	-300
8920	4912	1	0
6934	4912	4	-300
6934	4912	3	-300
6934	2915	1	0
4949	2915	0	0
6931	2915	1	0
4963	2915	4	0
4963	2915	0	0
6943	2915	4	0
6943	2915	2	0
6943	4937	4	-300
6943	4937	2	-300
6943	6941	0	0
8917	6941	1	0
6924	6941	4	0
6924	6941	1	0
4938	6941	0	-300
6968	6941	1	0
4979	6941	1	-300
3011	6941	1	0
1017	6941	2	0
1017	8939	3	0
1017	6926	2	0
1017	8915	3	0
1017	6914	2	0
1017	8920	4	0
1017	8920	4	0
1017	8920	0	0
3010	8920	0	0
4992	8920	3	0
4992	6936	3	-300
4992	4918	4	300
4992	4918	4	300
4992	4918	1	300
2974	4918	4	0
2974	4918	1	0
987	4918	3	0
987	2928	4	0
987	2928	3	0
987	924	2	0
987	2914	2	0
987	4872	2	0
987	6847	0	0
2991	6847	4	0
2991	6847	1	0
997	6847	2	0
997	8805	0	0
3016	8805	1	0
1038	8805	0	0
3034	8805	0	0
5046	8805	4	0
5046	8805	3	0
5046	6816	2	-300
5046	8768	3	0
5046	6780	0	-300
7064	6780	1	0
5059	6780	1	-300
3043	6780	1	0
1049	6780	0	0
3025	6780	0	0
5039	6780	1	-300
3064	6780	1	0
1096	6780	3	0
1096	4793	2	0
1096	6776	0	0
3106	6776	3	0
3106	4806	2	0
3106	6782	3	0
3106	4785	0	0
5099	4785	1	300
3094	4785	0	0
5073	4785	4	300
5073	4785	0	300
7060	4785	4	-300
7060	4785	3	-300
7060	2830	0	0
9068	2830	4	0
9068	2830	4	0
9068	2830	1	0
7072	2830	0	0
9047	2830	2	0
9047	4792	1	0
7057	4792	4	-300
7057	4792	3	-300
7057	2799	0	0
9061	2799	3	0
9061	783	2	500
9061	2760	1	0
7074	2760	2	0
7074	4751	3	-300
7074	2746	4	0
7074	2746	3	0
7074	749	2	0
7074	2730	3	0
7074	742	0	0
9092	742	2	500
9092	2721	3	0
9092	711	1	500
7133	711	0	0
9107	711	4	500
9107	711	4	500
9107	711	1	500
7086	711	4	0
7086	711	0	0
9078	711	2	500
9078	2703	1	0
7078	2703	3	0
7078	729	4	0
7078	729	0	0
9061	729	1	500
7060	729	2	0
7060	2699	0	0
9038	2699	1	0
7034	2699	4	0
7034	2699	0	0
9036	2699	3	0
9036	719	4	500
9036	719	2	500
9036	2719	2	0
9036	4717	4	0
9036	4717	4	0
9036	4717	1	0
7021	4717	0	-300
8998	4717	3	0
8998	2705	4	0
8998	2705	2	0
8998	4694	1	0
6965	4694	0	-300
8946	4694	1	0
6941	4694	1	-300
4941	4694	3	300
4941	2687	1	0
2942	2687	3	0
2942	700	2	500
2942	2692	2	0
2942	4651	3	0
2942	2652	0	0
4936	2652	1	0
2953	2652	2	0
2953	4656	0	0
4949	4656	2	300
4949	6658	0	-300
6954	6658	2	0
6954	8655	0	0
8948	8655	1	0
6955	8655	3	0
6955	6666	3	0
6955	4688	2	-300
6955	6687	3	0
6955	4706	1	-300
4981	4706	3	300
4981	2727	1	0
2992	2727	4	0
2992	2727	1	0
999	2727	3	0
999	733	4	0
999	733	4	0
999	733	0	0
3006	733	4	500
3006	733	2	500
3006	2724	2	0
3006	4695	3	0
3006	2734	1	0
